Gene,IG Score Before Training,IG Score After Training,change
C1orf141,0.2689414322376251,0.0002427109429845,0.2686987212946406
PKP1,0.2689414322376251,2.22876769839786e-05,0.26891914456064114
RERE,0.2689414322376251,0.0002271689590997,0.26871426327852543
CSMD2,0.2689414322376251,0.0002416107454337,0.2686998214921914
HIVEP3,0.2689414322376251,0.000245200615609,0.2686962316220161
GLMN,0.2689414322376251,0.0002570282376836,0.26868440399994153
SLC44A5,0.2689414322376251,0.0002362481754971,0.268705184062128
TTLL7,0.2689414322376251,0.0002413374750176,0.26870009476260753
MAN1A2,0.2689414322376251,0.000237710060901,0.2687037221767241
MPZL1,0.2689414322376251,0.0002406412531854,0.2687007909844397
RFWD2,0.2689414322376251,0.2689414322376251,0.0
C1orf21,0.2689414322376251,0.0002303300861967,0.2687111021514284
LINC01032,0.2689414322376251,0.2689414322376251,0.0
ANXA9,0.2689414322376251,0.0002433126501273,0.26869811958749784
HSD11B1,0.2689414322376251,0.0002425027487333,0.26869892948889185
LOC101930114,0.2689414322376251,0.2689414322376251,0.0
SDCCAG8,0.2689414322376251,0.000236433421378,0.2687049988162471
AGRN,0.2689414322376251,0.0002255545841762,0.2687158776534489
PRDM16,0.2689414322376251,0.0002362538216402,0.2687051784159849
PRKCZ,0.2689414322376251,0.0002389097644481,0.268702522473177
ACOT7,0.2689414322376251,0.0002344827807974,0.2687069494568277
CAMTA1,0.2689414322376251,0.0002339392376597,0.26870749299996544
DISP3,0.2689414322376251,0.0002919587423093,0.2686494734953158
KAZN,0.2689414322376251,0.0002396724594291,0.26870175977819605
PLEKHM2,0.2689414322376251,0.0002377501805312,0.26870368205709394
DHRS3,0.2689414322376251,0.0002290421980433,0.2687123900395818
PEX14,0.2689414322376251,0.0002413478359812,0.26870008440164395
EIF4G3,0.2689414322376251,0.0002365263208048,0.26870490591682034
KDM1A,0.2689414322376251,0.0002360840444453,0.2687053481931798
ACTL8,0.2689414322376251,0.0002426401188131,0.26869879211881204
ALDH4A1,0.2689414322376251,0.0002414914633845,0.26869994077424064
PLA2G2E,0.2689414322376251,0.0002431472967145,0.26869828494091064
WDTC1,0.2689414322376251,0.0002376962365815,0.26870373600104364
EPHA10,0.2689414322376251,0.0002417072973912,0.2686997249402339
TRIT1,0.2689414322376251,0.0002381926315138,0.2687032396061113
PIK3R3,0.2689414322376251,0.0002396539493929,0.2687017782882322
LOC101929626,0.2689414322376251,0.2689414322376251,0.0
SLC5A9,0.2689414322376251,0.0002421806566417,0.2686992515809834
ZSWIM5,0.2689414322376251,0.0002412693575024,0.2687001628801227
AGBL4,0.2689414322376251,0.0002419660013401,0.26869946623628505
PDZK1IP1,0.2689414322376251,0.0002402572572464,0.2687011749803787
EPS15,0.2689414322376251,0.0002532826329115,0.2686881496047136
ZCCHC11,0.2689414322376251,0.2689414322376251,0.0
DAB1,0.2689414322376251,0.0002401498350081,0.26870128240261704
LOC101926964,0.2689414322376251,0.2689414322376251,0.0
PATJ,0.2689414322376251,0.0002129102795151,0.26872852195811003
JAK1,0.2689414322376251,0.000238765598624,0.2687026666390011
PDE4B,0.2689414322376251,0.0002367550914641,0.26870467714616103
ROR1,0.2689414322376251,0.0002421688841423,0.2686992633534828
GNG12-AS1,0.2689414322376251,0.2689414322376251,0.0
WLS,0.2689414322376251,0.0002318530314369,0.2687095792061882
FPGT-TNNI3K,0.2689414322376251,0.2689414322376251,0.0
TNNI3K,0.2689414322376251,0.0002421342360321,0.26869929800159303
ST6GALNAC3,0.2689414322376251,0.0002417586947558,0.26869967354286933
ZZZ3,0.2689414322376251,0.2689414322376251,0.0
ADGRL2,0.2689414322376251,0.0002403819089522,0.2687010503286729
IFI44L,0.2689414322376251,0.0002431268803775,0.26869830535724765
COL24A1,0.2689414322376251,0.0002398029901087,0.26870162924751645
HS2ST1,0.2689414322376251,0.0002844799601007,0.2686569522775244
MCOLN2,0.2689414322376251,0.0002414817863609,0.2686999504512642
CCDC18-AS1,0.2689414322376251,0.2689414322376251,0.0
DPYD,0.2689414322376251,0.0002446905709803,0.2686967416666448
MIR548N,0.2689414322376251,0.2689414322376251,0.0
LINC01397,0.2689414322376251,0.2689414322376251,0.0
ATP1A1,0.2689414322376251,0.0002655762073118,0.2686758560303133
CEPT1,0.2689414322376251,0.0002400466182734,0.2687013856193517
SRGAP2-AS1,0.2689414322376251,0.2689414322376251,0.0
RNF115,0.2689414322376251,0.0002470870094839,0.26869434522814123
HYDIN2,0.2689414322376251,0.2689414322376251,0.0
PDE4DIP,0.2689414322376251,0.2689414322376251,0.0
OTUD7B,0.2689414322376251,0.0002310720155946,0.26871036022203054
MUC1,0.2689414322376251,0.0002742600627243,0.2686671721749008
PMF1-BGLAP,0.2689414322376251,0.2689414322376251,0.0
NUP210L,0.2689414322376251,0.0002416517818346,0.2686997804557905
PMF1,0.2689414322376251,0.0002337684418307,0.2687076637957944
