Gene,IG Score Before Training,IG Score After Training,Difference,rank
MUC1,0.2689414322376251,0.27378445863723755,0.004843026399612427,1.0
MAGED1,0.2689414322376251,0.2733640968799591,0.004422664642333984,2.0
KRT18,0.2689414322376251,0.2698403596878052,0.0008989274501800537,3.0
KRTAP4-1,0.2689414322376251,0.2689414322376251,0.0,130.0
KRTAP4-2,0.2689414322376251,0.2689414322376251,0.0,130.0
KRTAP4-3,0.2689414322376251,0.2689414322376251,0.0,130.0
KRT33B,0.2689414322376251,0.2689414322376251,0.0,130.0
KRT33A,0.2689414322376251,0.2689414322376251,0.0,130.0
KRTAP17-1,0.2689414322376251,0.2689414322376251,0.0,130.0
KRT73,0.2689414322376251,0.2689414322376251,0.0,130.0
KRTAP29-1,0.2689414322376251,0.2689414322376251,0.0,130.0
KRTAP9-7,0.2689414322376251,0.2689414322376251,0.0,130.0
KRTAP9-6,0.2689414322376251,0.2689414322376251,0.0,130.0
KRTAP9-9,0.2689414322376251,0.2689414322376251,0.0,130.0
KRT1,0.2689414322376251,0.2689414322376251,0.0,130.0
KRT2,0.2689414322376251,0.2689414322376251,0.0,130.0
KRTAP16-1,0.2689414322376251,0.2689414322376251,0.0,130.0
KRTAP9-2,0.2689414322376251,0.2689414322376251,0.0,130.0
KRTAP9-3,0.2689414322376251,0.2689414322376251,0.0,130.0
KRTAP9-8,0.2689414322376251,0.2689414322376251,0.0,130.0
KRTAP9-4,0.2689414322376251,0.2689414322376251,0.0,130.0
KRTAP4-8,0.2689414322376251,0.2689414322376251,0.0,130.0
KRTAP4-16,0.2689414322376251,0.2689414322376251,0.0,130.0
KRTAP4-9,0.2689414322376251,0.2689414322376251,0.0,130.0
KRTAP4-11,0.2689414322376251,0.2689414322376251,0.0,130.0
KRTAP4-12,0.2689414322376251,0.2689414322376251,0.0,130.0
KRTAP4-6,0.2689414322376251,0.2689414322376251,0.0,130.0
KRTAP4-5,0.2689414322376251,0.2689414322376251,0.0,130.0
KRTAP4-4,0.2689414322376251,0.2689414322376251,0.0,130.0
KRTAP1-4,0.2689414322376251,0.2689414322376251,0.0,130.0
KRTAP1-3,0.2689414322376251,0.2689414322376251,0.0,130.0
KRTAP1-1,0.2689414322376251,0.2689414322376251,0.0,130.0
KRTAP9-1,0.2689414322376251,0.2689414322376251,0.0,130.0
MAGEA2B,0.2689414322376251,0.2689414322376251,0.0,130.0
MAGEA12,0.2689414322376251,0.2689414322376251,0.0,130.0
