adata,radius,resolution
/project/DPDS/Wang_lab/s439765/spatial_tcr/negative_control/high_res/HumanLungCancerEndothelial_negative_control.h5ad,150,high
/project/DPDS/Wang_lab/s439765/spatial_tcr/negative_control/high_res/slide_tagEndothelial_negative_control.h5ad,300,high
/project/DPDS/Wang_lab/s439765/spatial_tcr/negative_control/low_res/HumanOvarianCancerWholeTranscriptome_negative_control.h5ad,300,low
/project/DPDS/Wang_lab/s439765/spatial_tcr/negative_control/low_res/HumanColorectalCancerFFPE_negative_control.h5ad,300,low
/project/DPDS/Wang_lab/s439765/spatial_tcr/negative_control/low_res/HumanLungCancer_negative_control.h5ad,300,low
/project/DPDS/Wang_lab/s439765/spatial_tcr/negative_control/low_res/HumanProstateCancerFFPE_negative_control.h5ad,300,low
/project/DPDS/Wang_lab/s439765/spatial_tcr/negative_control/low_res/HumanBreastCancerDuctalCarcinoma_negative_control.h5ad,300,low
/project/DPDS/Wang_lab/s439765/spatial_tcr/negative_control/low_res/InvasiveDuctalCarcinoma_negative_control.h5ad,300,low
/project/DPDS/Wang_lab/s439765/spatial_tcr/negative_control/low_res/HumanIntestineCancerFFPE_negative_control.h5ad,300, low
/project/DPDS/Wang_lab/s439765/spatial_tcr/negative_control/low_res/HumanBreastCancer_negative_control.h5ad,300,low
/project/DPDS/Wang_lab/s439765/spatial_tcr/negative_control/low_res/HumanBreastCancerA2_negative_control.h5ad,300,low
/project/DPDS/Wang_lab/s439765/spatial_tcr/negative_control/low_res/TumC2_preprocessed_negative_control.h5ad,300,low
/project/DPDS/Wang_lab/s439765/spatial_tcr/negative_control/low_res/TumE2_preprocessed_negative_control.h5ad,300,low
/project/DPDS/Wang_lab/s439765/spatial_tcr/negative_control/low_res/HumanColorectalCancerWholeTranscriptome_negative_control.h5ad,300,low
/project/DPDS/Wang_lab/s439765/spatial_tcr/negative_control/low_res/HumanProstateCancerAdenocarcinomaFFPE_negative_control.h5ad,300,low
/project/DPDS/Wang_lab/s439765/spatial_tcr/negative_control/low_res/spatial_TCR_scRNA_negative_control.h5ad,300,low
/project/DPDS/Wang_lab/s439765/spatial_tcr/negative_control/low_res/HumanMelanomaFFPE_negative_control.h5ad,300,low
/project/DPDS/Wang_lab/s439765/spatial_tcr/negative_control/low_res/HumanOvarianCancer_negative_control.h5ad,300,low
/project/DPDS/Wang_lab/s439765/spatial_tcr/negative_control/low_res/HumanProstateCancerAcinarFFPE_negative_control.h5ad,300,low
/project/DPDS/Wang_lab/s439765/spatial_tcr/negative_control/low_res/HumanCervicalCancerFFPE_negative_control.h5ad,300,low
/project/DPDS/Wang_lab/s439765/spatial_tcr/negative_control/low_res/HumanBreastCancerWholeTranscriptome_negative_control.h5ad,300,low
/project/DPDS/Wang_lab/s439765/spatial_tcr/negative_control/low_res/HumanOvarianCancerFFPE_negative_control.h5ad,300,low
/project/DPDS/Wang_lab/s439765/spatial_tcr/spatial_transcriptomics/merscope_data/HumanLiverCancerPatient1/Endothelial.h5ad,50,high
/project/DPDS/Wang_lab/s439765/spatial_tcr/spatial_transcriptomics/merscope_data/HumanMelanomaPatient1/Endothelial.h5ad,50,high
/project/DPDS/Wang_lab/s439765/spatial_tcr/spatial_transcriptomics/merscope_data/HumanProstateCancerPatient2/Endothelial.h5ad,50,high
/project/DPDS/Wang_lab/s439765/spatial_tcr/spatial_transcriptomics/merscope_data/HumanLungCancerPatient2/Endothelial.h5ad,50,high
/project/DPDS/Wang_lab/s439765/spatial_tcr/spatial_transcriptomics/merscope_data/HumanOvarianCancerPatient1/Endothelial.h5ad,50,high
/project/DPDS/Wang_lab/s439765/spatial_tcr/spatial_transcriptomics/merscope_data/HumanMelanomaPatient2/Endothelial.h5ad,50,high
/project/DPDS/Wang_lab/s439765/spatial_tcr/spatial_transcriptomics/merscope_data/HumanOvarianCancerPatient2Slice1/Endothelial.h5ad,50,high
/project/DPDS/Wang_lab/s439765/spatial_tcr/spatial_transcriptomics/merscope_data/HumanColonCancerPatient1/Endothelial.h5ad,50,high
/project/DPDS/Wang_lab/s439765/spatial_tcr/spatial_transcriptomics/merscope_data/HumanProstateCancerPatient1/Endothelial.h5ad,50,high
/project/DPDS/Wang_lab/s439765/spatial_tcr/spatial_transcriptomics/merscope_data/HumanLiverCancerPatient2/Endothelial.h5ad,50,high
/project/DPDS/Wang_lab/s439765/spatial_tcr/spatial_transcriptomics/merscope_data/HumanColonCancerPatient2/Endothelial.h5ad,50,high
/project/DPDS/Wang_lab/s439765/spatial_tcr/spatial_transcriptomics/merscope_data/HumanBreastCancerPatient1/Endothelial.h5ad,50,high
