adata,radius,resolution
/project/DPDS/Wang_lab/s439765/spatial_tcr/negative_control/high_res/HumanColorectalCancerMacrophage_negative_control.h5ad,150,high
/project/DPDS/Wang_lab/s439765/spatial_tcr/negative_control/high_res/HumanLungCancerMacrophage_negative_control.h5ad,150,high
/project/DPDS/Wang_lab/s439765/spatial_tcr/negative_control/high_res/slide_tagMacrophage_negative_control.h5ad,300,high
/project/DPDS/Wang_lab/s439765/spatial_tcr/negative_control/low_res/HumanOvarianCancerWholeTranscriptome_negative_control.h5ad,300,low
/project/DPDS/Wang_lab/s439765/spatial_tcr/negative_control/low_res/HumanColorectalCancerFFPE_negative_control.h5ad,300,low
/project/DPDS/Wang_lab/s439765/spatial_tcr/negative_control/low_res/HumanLungCancer_negative_control.h5ad,300,low
/project/DPDS/Wang_lab/s439765/spatial_tcr/negative_control/low_res/HumanProstateCancerFFPE_negative_control.h5ad,300,low
/project/DPDS/Wang_lab/s439765/spatial_tcr/negative_control/low_res/HumanBreastCancerDuctalCarcinoma_negative_control.h5ad,300,low
/project/DPDS/Wang_lab/s439765/spatial_tcr/negative_control/low_res/InvasiveDuctalCarcinoma_negative_control.h5ad,300,low
/project/DPDS/Wang_lab/s439765/spatial_tcr/negative_control/low_res/HumanIntestineCancerFFPE_negative_control.h5ad,300, ow
/project/DPDS/Wang_lab/s439765/spatial_tcr/negative_control/low_res/HumanBreastCancer_negative_control.h5ad,300,low
/project/DPDS/Wang_lab/s439765/spatial_tcr/negative_control/low_res/HumanBreastCancerA2_negative_control.h5ad,300,low
/project/DPDS/Wang_lab/s439765/spatial_tcr/negative_control/low_res/TumC2_preprocessed_negative_control.h5ad,300,low
/project/DPDS/Wang_lab/s439765/spatial_tcr/negative_control/low_res/TumE2_preprocessed_negative_control.h5ad,300,low
/project/DPDS/Wang_lab/s439765/spatial_tcr/negative_control/low_res/HumanColorectalCancerWholeTranscriptome_negative_control.h5ad,300,low
/project/DPDS/Wang_lab/s439765/spatial_tcr/negative_control/low_res/HumanProstateCancerAdenocarcinomaFFPE_negative_control.h5ad,300,low
/project/DPDS/Wang_lab/s439765/spatial_tcr/negative_control/low_res/spatial_TCR_scRNA_negative_control.h5ad,300,low
/project/DPDS/Wang_lab/s439765/spatial_tcr/negative_control/low_res/HumanMelanomaFFPE_negative_control.h5ad,300,low
/project/DPDS/Wang_lab/s439765/spatial_tcr/negative_control/low_res/HumanOvarianCancer_negative_control.h5ad,300,low
/project/DPDS/Wang_lab/s439765/spatial_tcr/negative_control/low_res/HumanProstateCancerAcinarFFPE_negative_control.h5ad,300,low
/project/DPDS/Wang_lab/s439765/spatial_tcr/negative_control/low_res/HumanCervicalCancerFFPE_negative_control.h5ad,300,low
/project/DPDS/Wang_lab/s439765/spatial_tcr/negative_control/low_res/HumanBreastCancerWholeTranscriptome_negative_control.h5ad,300,low
/project/DPDS/Wang_lab/s439765/spatial_tcr/negative_control/low_res/HumanOvarianCancerFFPE_negative_control.h5ad,300,low
