Gene,HLA 49:36,HLA 81:95,HLA 34:45,HLA 92:44,HLA 70:22,HLA 84:40,HLA 91:85,HLA 47:96,HLA 56:71,HLA 85:65,HLA 58:16,HLA 49:92,HLA 16:79,HLA 60:88,HLA 14:97,HLA 24:67,HLA 85:10,HLA 48:15,HLA 32:42,HLA 29:23,HLA 14:63,HLA 42:82,HLA 59:82,HLA 49:79,HLA 47:76,HLA 33:45,HLA 11:91,HLA 42:37,HLA 61:81,HLA 34:64,HLA 73:75,HLA 15:92,HLA 66:30,HLA 28:82,HLA 33:63,HLA 39:23,HLA 92:79,HLA 83:24,HLA 10:68,HLA 99:13,HLA 40:96,HLA 16:86,HLA 29:26,HLA 45:47,HLA 61:42,HLA 65:75,HLA 97:48,HLA 79:98,HLA 99:99,HLA 47:82,HLA 34:39,HLA 68:84,HLA 50:80,HLA 59:97,HLA 46:38,HLA 66:40,HLA 40:80,HLA 74:47,HLA 10:56,HLA 61:93,HLA 57:10,HLA 82:90,HLA 13:70,HLA 75:79,HLA 54:91,HLA 72:80,HLA 76:69,HLA 57:26,HLA 74:99,HLA 55:40,HLA 36:82,HLA 12:49,HLA 94:80,HLA 32:66,HLA 74:33,HLA 77:11,HLA 49:67,HLA 40:46,HLA 57:43,HLA 57:56,HLA 64:15,HLA 93:54,HLA 69:14,HLA 80:82,HLA 89:41,HLA 21:78,HLA 32:10,HLA 13:48,HLA 16:80,HLA 38:61
A2ML1,80,12,62,20,15,63,34,40,96,94,90,36,2,12,44,1,69,74,35,19,42,96,8,29,99,92,33,86,44,67,62,86,90,86,37,73,17,82,50,70,18,66,19,38,99,56,55,67,47,96,40,53,90,89,27,32,52,9,59,16,48,65,31,53,67,36,12,65,38,16,54,34,56,69,28,36,98,62,30,16,85,73,22,29,12,11,5,59,39,21
AAA1,77,86,26,38,46,55,30,6,53,73,95,24,20,41,93,6,43,31,12,69,11,82,55,87,30,62,2,24,50,88,73,16,1,26,78,33,8,3,40,44,46,7,10,71,3,86,27,23,81,48,4,56,73,68,4,42,43,57,30,47,27,83,7,26,4,21,81,79,61,71,14,59,99,18,92,15,81,86,56,91,6,33,78,87,59,75,88,91,49,7
AACSL,2,65,5,14,79,30,5,35,18,14,6,8,62,22,64,16,26,69,22,50,33,73,97,83,10,56,40,20,55,55,78,98,87,29,2,54,53,12,38,99,5,11,80,33,80,74,15,83,36,76,55,87,27,8,10,75,90,43,17,64,3,91,36,70,68,57,51,33,35,2,26,8,73,20,73,75,23,8,52,36,5,31,31,53,21,88,69,45,40,30
AADACL3,51,44,79,2,60,60,38,68,11,18,98,69,27,78,33,91,73,15,35,22,11,88,70,50,91,40,42,96,50,85,16,55,53,10,45,57,29,45,65,82,11,61,13,39,40,87,24,4,36,60,62,24,55,18,24,31,15,63,97,68,18,39,73,19,75,51,24,97,29,77,51,23,98,70,34,29,56,11,60,64,74,83,11,47,46,86,25,83,94,80
AANAT,1,98,36,32,29,59,25,6,82,9,58,90,72,98,2,7,57,45,98,57,62,22,50,17,32,93,93,23,10,79,51,9,24,16,55,97,42,69,21,25,56,37,96,49,26,50,85,30,80,23,86,56,53,25,35,69,23,78,82,71,63,72,48,25,57,52,98,46,23,68,29,86,22,77,13,38,60,97,49,96,28,27,75,33,59,67,70,14,34,96
ABCA12,55,81,12,26,18,56,36,11,71,66,67,30,65,39,30,17,61,99,18,9,56,79,4,49,60,42,17,87,42,32,74,28,30,89,38,65,74,77,86,70,2,94,37,3,52,21,60,86,58,88,28,93,7,17,4,61,57,40,62,68,56,13,42,35,5,94,93,37,73,59,32,60,14,76,61,35,45,8,22,28,49,25,11,35,9,23,6,79,36,23
ABCA13,89,86,96,34,50,69,41,2,27,25,74,94,22,10,19,45,3,76,89,90,32,75,90,44,73,77,88,27,58,67,22,38,93,39,24,62,12,58,91,87,74,37,28,76,19,71,74,19,87,80,72,71,11,6,27,69,76,70,76,14,53,14,65,55,61,7,87,86,36,88,95,19,89,63,53,73,23,2,82,87,69,27,62,66,8,78,81,79,44,94
ABCA17P,14,22,71,77,42,61,32,48,24,45,79,17,38,77,93,48,61,59,41,3,80,87,30,95,95,48,9,70,84,37,38,89,74,5,45,15,94,17,7,60,10,53,45,5,58,36,38,86,76,76,38,81,93,54,76,89,13,37,70,36,77,79,98,90,19,77,66,83,61,47,62,89,41,49,80,90,60,25,78,85,53,40,38,10,18,54,64,68,64,59
ABCB9,25,54,43,89,89,2,37,66,78,20,96,32,30,86,26,94,30,84,53,84,75,96,40,34,14,81,67,76,36,39,34,46,71,18,52,67,29,75,52,75,89,22,51,93,53,87,20,54,39,55,37,78,30,8,29,67,55,82,91,13,96,65,32,37,53,15,65,43,18,73,30,64,9,68,56,91,32,64,24,79,58,2,37,67,47,48,58,51,38,90
ABCC12,56,97,16,84,38,40,63,25,50,64,55,56,74,18,24,66,85,81,25,57,13,67,35,63,29,88,44,69,43,85,78,86,73,50,98,20,38,5,16,7,87,78,88,64,99,12,34,42,90,10,9,31,25,96,9,83,96,59,43,6,74,63,57,4,82,90,31,13,68,37,76,47,95,86,86,58,34,92,39,2,36,57,72,83,98,61,54,47,49,90
ABHD12B,41,81,72,14,56,53,31,57,41,74,40,23,18,9,34,95,41,36,84,91,10,16,57,66,51,77,23,84,3,55,81,25,87,77,24,84,64,87,66,48,26,92,35,80,55,18,98,66,7,40,21,97,63,42,94,56,25,20,8,29,58,50,30,10,88,22,68,32,58,95,27,4,48,51,32,69,85,87,74,14,52,34,53,49,81,55,80,90,2,32
ACAN,75,14,28,46,23,31,50,67,44,67,74,70,98,76,97,73,39,77,42,21,37,43,55,40,65,35,25,54,72,37,49,13,73,44,57,97,73,32,77,65,42,47,40,94,23,70,13,45,88,81,73,13,95,85,62,61,93,97,81,75,97,70,32,1,86,88,60,11,41,70,69,70,6,34,27,7,8,12,88,40,46,26,65,70,64,39,41,72,45,1
ACBD7,93,57,72,50,56,31,22,49,90,5,42,89,9,1,14,83,57,21,82,15,28,75,8,75,24,62,24,94,53,73,45,81,95,18,16,87,97,5,93,1,90,20,78,98,98,39,12,6,38,68,52,72,5,5,68,67,25,9,97,93,48,10,94,72,1,18,7,77,34,69,88,57,64,53,67,75,24,77,26,89,74,52,94,19,9,52,26,27,56,84
