Gene,IG Score Before Training,IG Score After Training,Difference
PDCD1,-1.0,-0.43415603041648865,0.5658439695835114
CEACAM8,-1.0,-0.4608459174633026,0.5391540825366974
TRAT1,-1.0,-0.4912657141685486,0.5087342858314514
EOMES,-1.0,-0.5017906427383423,0.4982093572616577
ICOS,-1.0,-0.5374249219894409,0.4625750780105591
GNLY,-1.0,-0.676619291305542,0.323380708694458
FOXP3,-1.0,-0.7135941982269287,0.2864058017730713
CCR6,-1.0,-0.7400642037391663,0.25993579626083374
GZMH,-1.0,-0.747893214225769,0.25210678577423096
ZBED2,-1.0,-0.784032940864563,0.215967059135437
PRF1,-1.0,-0.7963954210281372,0.2036045789718628
CLDN5,-1.0,-0.7990331053733826,0.20096689462661743
XCR1,-1.0,-0.8429094552993774,0.15709054470062256
CXCR5,-1.0,-0.8460121154785156,0.15398788452148438
NDUFA4L2,-1.0,-0.8492456674575806,0.15075433254241943
KLRB1,-1.0,-0.8546864986419678,0.14531350135803223
BLK,-1.0,-0.861426591873169,0.13857340812683105
CXCL2,-1.0,-0.8652591705322266,0.13474082946777344
FASLG,-1.0,-0.8666108250617981,0.1333891749382019
TNFRSF13B,-1.0,-0.8671420216560364,0.13285797834396362
NKG7,-1.0,-0.8776615858078003,0.12233841419219971
GZMA,-1.0,-0.8783102035522461,0.1216897964477539
TP63,-1.0,-0.881974458694458,0.11802554130554199
CD3G,-1.0,-0.9044415950775146,0.09555840492248535
CCR3,-1.0,-0.9056047797203064,0.0943952202796936
CD5,-1.0,-0.9064676761627197,0.09353232383728027
IGF1,-1.0,-0.9089590311050415,0.0910409688949585
VWF,-1.0,-0.9103113412857056,0.08968865871429443
TWIST1,-1.0,-0.9121124148368835,0.08788758516311646
CXCL5,-1.0,-0.9150785803794861,0.08492141962051392
CA7,-1.0,-0.9180504083633423,0.08194959163665771
HGF,-1.0,-0.9192262887954712,0.08077371120452881
TIGIT,-1.0,-0.9192320704460144,0.0807679295539856
MMRN2,-1.0,-0.9236767888069153,0.07632321119308472
CD79A,-1.0,-0.9260114431381226,0.07398855686187744
CCL4,-1.0,-0.9261118769645691,0.07388812303543091
SELPLG,-1.0,-0.9262810945510864,0.07371890544891357
POU2AF1,-1.0,-0.9285608530044556,0.07143914699554443
CTSW,-1.0,-0.9300948977470398,0.0699051022529602
CD28,-1.0,-0.9301440715789795,0.06985592842102051
MMRN1,-1.0,-0.9345718622207642,0.06542813777923584
MYH11,-1.0,-0.9369787573814392,0.06302124261856079
KLRC1,-1.0,-0.9398835897445679,0.06011641025543213
CCR2,-1.0,-0.9416612386703491,0.05833876132965088
CCR4,-1.0,-0.9430574178695679,0.05694258213043213
CAV1,-1.0,-0.943701446056366,0.05629855394363403
CD8B,-1.0,-0.9437803030014038,0.05621969699859619
CXCL9,-1.0,-0.9454119801521301,0.05458801984786987
TNFRSF4,-1.0,-0.9486088752746582,0.0513911247253418
CSF3R,-1.0,-0.9493054151535034,0.05069458484649658
FCRL5,-1.0,-0.9514132738113403,0.04858672618865967
CCL28,-1.0,-0.9534769058227539,0.046523094177246094
RORC,-1.0,-0.955464780330658,0.04453521966934204
IL2RB,-1.0,-0.9558306932449341,0.04416930675506592
PLVAP,-1.0,-0.956626296043396,0.043373703956604004
KLRK1,-1.0,-0.9570284485816956,0.04297155141830444
ANGPT1,-1.0,-0.9573385715484619,0.042661428451538086
PPARGC1A,-1.0,-0.9632782340049744,0.036721765995025635
NCR1,-1.0,-0.9642843008041382,0.035715699195861816
LGR6,-1.0,-0.9644601941108704,0.03553980588912964
TREM2,-1.0,-0.964783251285553,0.03521674871444702
CD3D,-1.0,-0.9657849073410034,0.03421509265899658
ELN,-1.0,-0.9663512706756592,0.03364872932434082
ESCO2,-1.0,-0.9676636457443237,0.03233635425567627
MUC4,-1.0,-0.9688976407051086,0.031102359294891357
LEF1,-1.0,-0.9707416892051697,0.029258310794830322
PREX2,-1.0,-0.9725063443183899,0.027493655681610107
CSF2RA,-1.0,-0.9731578230857849,0.026842176914215088
CD274,-1.0,-0.9735263586044312,0.026473641395568848
CLEC14A,-1.0,-0.973835289478302,0.026164710521697998
FLT1,-1.0,-0.9760443568229675,0.02395564317703247
FGF2,-1.0,-0.977654755115509,0.022345244884490967
ITGA1,-1.0,-0.9777588844299316,0.02224111557006836
TNFSF4,-1.0,-0.979579746723175,0.02042025327682495
PDCD1LG2,-1.0,-0.9800578951835632,0.019942104816436768
ZAP70,-1.0,-0.9806368947029114,0.019363105297088623
CCR7,-1.0,-0.9807684421539307,0.019231557846069336
GPX3,-1.0,-0.9809066653251648,0.019093334674835205
S100A9,-1.0,-0.9825723767280579,0.01742762327194214
CSF3,-1.0,-0.9828854203224182,0.017114579677581787
CD2,-1.0,-0.9831237196922302,0.016876280307769775
AXIN2,-1.0,-0.9838363528251648,0.016163647174835205
MTOR,-1.0,-0.9845349788665771,0.015465021133422852
CCR8,-1.0,-0.9848698377609253,0.015130162239074707
IRF4,-1.0,-0.9850658774375916,0.014934122562408447
SLC26A3,-1.0,-0.9855557084083557,0.014444291591644287
IL6,-1.0,-0.9859322905540466,0.01406770944595337
SELP,-1.0,-0.9862912893295288,0.013708710670471191
FLT4,-1.0,-0.9867114424705505,0.013288557529449463
PRTN3,-1.0,-0.9868183732032776,0.013181626796722412
MFAP5,-1.0,-0.9875620007514954,0.012437999248504639
CD3E,-1.0,-0.9875892996788025,0.01241070032119751
NOS2,-1.0,-0.9879205226898193,0.012079477310180664
PDGFC,-1.0,-0.9887615442276001,0.011238455772399902
CMKLR1,-1.0,-0.9891436100006104,0.010856389999389648
FGF1,-1.0,-0.9892595410346985,0.010740458965301514
ANGPT2,-1.0,-0.9901007413864136,0.009899258613586426
PDGFA,-1.0,-0.9901785850524902,0.009821414947509766
EPHA2,-1.0,-0.9906477332115173,0.009352266788482666
THBD,-1.0,-0.9915560483932495,0.008443951606750488
ZEB1,-1.0,-0.9922635555267334,0.0077364444732666016
LAG3,-1.0,-0.9927417039871216,0.007258296012878418
TBX21,-1.0,-0.993547260761261,0.006452739238739014
CCL5,-1.0,-0.9941064715385437,0.005893528461456299
RET,-1.0,-0.9941115379333496,0.005888462066650391
PGF,-1.0,-0.9943060278892517,0.005693972110748291
NEDD4,-1.0,-0.9947866201400757,0.005213379859924316
ITGA4,-1.0,-0.994788646697998,0.005211353302001953
ITK,-1.0,-0.9949924349784851,0.005007565021514893
MARCO,-1.0,-0.995337724685669,0.004662275314331055
PECAM1,-1.0,-0.9954954385757446,0.004504561424255371
SFRP2,-1.0,-0.9958255887031555,0.004174411296844482
STAT4,-1.0,-0.9960898160934448,0.003910183906555176
CXCL1,-1.0,-0.9962173700332642,0.00378262996673584
PDGFB,-1.0,-0.9965476393699646,0.0034523606300354004
MMP2,-1.0,-0.9965661764144897,0.003433823585510254
WNT3,-1.0,-0.9966778755187988,0.003322124481201172
TGFB3,-1.0,-0.9969213604927063,0.003078639507293701
CD8A,-1.0,-0.9970983266830444,0.0029016733169555664
TNC,-1.0,-0.997248649597168,0.0027513504028320312
IDO1,-1.0,-0.9972619414329529,0.002738058567047119
EGR1,-1.0,-0.9972708821296692,0.0027291178703308105
STAT5A,-1.0,-0.9973021149635315,0.002697885036468506
CD1E,-1.0,-0.9976509213447571,0.00234907865524292
CD4,-1.0,-0.9977858662605286,0.0022141337394714355
MKI67,-1.0,-0.9978025555610657,0.002197444438934326
CCNB1,-1.0,-0.9978091716766357,0.002190828323364258
ACTA2,-1.0,-0.9980822205543518,0.0019177794456481934
MMP11,-1.0,-0.9981012940406799,0.0018987059593200684
PDGFRB,-1.0,-0.9981831312179565,0.001816868782043457
CD86,-1.0,-0.9981875419616699,0.0018124580383300781
PDK4,-1.0,-0.9982250928878784,0.001774907112121582
CD163,-1.0,-0.998382031917572,0.0016179680824279785
MRC1,-1.0,-0.9985613822937012,0.0014386177062988281
SPRY2,-1.0,-0.9986519813537598,0.0013480186462402344
CCL8,-1.0,-0.9987009763717651,0.0012990236282348633
FBLN1,-1.0,-0.9987214207649231,0.0012785792350769043
MAFB,-1.0,-0.9988983869552612,0.0011016130447387695
CYBB,-1.0,-0.9989711046218872,0.001028895378112793
COL11A1,-1.0,-0.9989959001541138,0.0010040998458862305
COL1A1,-1.0,-0.999015212059021,0.000984787940979004
FAP,-1.0,-0.9990178346633911,0.0009821653366088867
AURKA,-1.0,-0.9990266561508179,0.0009733438491821289
TGFB1,-1.0,-0.999040961265564,0.0009590387344360352
APC,-1.0,-0.999091386795044,0.0009086132049560547
IFITM1,-1.0,-0.9991101026535034,0.000889897346496582
FCGR3A,-1.0,-0.9991912841796875,0.0008087158203125
CXCL12,-1.0,-0.999204158782959,0.0007958412170410156
TGFBR2,-1.0,-0.9992417097091675,0.0007582902908325195
MMP9,-1.0,-0.9992576241493225,0.0007423758506774902
COL4A1,-1.0,-0.9992865920066833,0.0007134079933166504
ASCL2,-1.0,-0.999336838722229,0.0006631612777709961
PTGDR2,-1.0,-0.9993538856506348,0.0006461143493652344
SERPINE1,-1.0,-0.9994332194328308,0.0005667805671691895
C1QC,-1.0,-0.9994953870773315,0.000504612922668457
TGFBI,-1.0,-0.9995408654212952,0.000459134578704834
CD14,-1.0,-0.9995421171188354,0.0004578828811645508
BMI1,-1.0,-0.9995704889297485,0.00042951107025146484
FCGR2A,-1.0,-0.9995924830436707,0.0004075169563293457
FOXM1,-1.0,-0.9997172951698303,0.00028270483016967773
ENG,-1.0,-0.9997218251228333,0.00027817487716674805
FN1,-1.0,-0.9997244477272034,0.00027555227279663086
ITGB2,-1.0,-0.9997825622558594,0.000217437744140625
DUSP1,-1.0,-0.9998281002044678,0.00017189979553222656
ACKR3,-1.0,-0.9998300671577454,0.00016993284225463867
BST2,-1.0,-0.9998400807380676,0.00015991926193237305
CSF1,-1.0,-0.9998515844345093,0.00014841556549072266
PTPRC,-1.0,-0.9998704791069031,0.00012952089309692383
FOS,-1.0,-0.9998818039894104,0.00011819601058959961
IL6R,-1.0,-0.9999023675918579,9.763240814208984e-05
CTNNB1,-1.0,-0.9999114274978638,8.857250213623047e-05
SNAI2,-1.0,-0.9999579191207886,4.208087921142578e-05
CCR1,-1.0,-0.9999585151672363,4.1484832763671875e-05
LHX5,-1.0,-1.0,0.0
CCDC53,-1.0,-1.0,0.0
SDS,-1.0,-1.0,0.0
MIR4303,-1.0,-1.0,0.0
SLC8B1,-1.0,-1.0,0.0
MIR6762,-1.0,-1.0,0.0
PARPBP,-1.0,-1.0,0.0
LOC100506551,-1.0,-1.0,0.0
PMCH,-1.0,-1.0,0.0
IQCD,-1.0,-1.0,0.0
MIR135A2,-1.0,-1.0,0.0
LINC00485,-1.0,-1.0,0.0
HRK,-1.0,-1.0,0.0
ASCL1,-1.0,-1.0,0.0
TESC-AS1,-1.0,-1.0,0.0
LOC105369945,-1.0,-1.0,0.0
LOC643711,-1.0,-1.0,0.0
RITA1,-1.0,-1.0,0.0
MIR7106,-1.0,-1.0,0.0
DDX54,-1.0,-1.0,0.0
WSB2,-1.0,-1.0,0.0
RFC5,-1.0,-1.0,0.0
SLC6A15,-1.0,-1.0,0.0
CFAP73,-1.0,-1.0,0.0
LOC105369911,-1.0,-1.0,0.0
TTC41P,-1.0,-1.0,0.0
MIR4495,-1.0,-1.0,0.0
LOC101928937,-1.0,-1.0,0.0
FAM71C,-1.0,-1.0,0.0
SNORA53,-1.0,-1.0,0.0
GOLGA2P5,-1.0,-1.0,0.0
MIR1827,-1.0,-1.0,0.0
MAP1LC3B2,-1.0,-1.0,0.0
LOC101929084,-1.0,-1.0,0.0
C12orf49,-1.0,-1.0,0.0
LINC00173,-1.0,-1.0,0.0
SLC25A3,-1.0,-1.0,0.0
IKBIP,-1.0,-1.0,0.0
MIR4472-2,-1.0,-1.0,0.0
C12orf76,-1.0,-1.0,0.0
DEPDC4,-1.0,-1.0,0.0
LHX5-AS1,-1.0,-1.0,0.0
DRAM1,-1.0,-1.0,0.0
ARL1,-1.0,-1.0,0.0
TMPO-AS1,-1.0,-1.0,0.0
MIR620,-1.0,-1.0,0.0
SPIC,-1.0,-1.0,0.0
TBX5-AS1,-1.0,-1.0,0.0
MYBPC1,-1.0,-1.0,0.0
TBX5,-1.0,-1.0,0.0
LOC643770,-1.0,-1.0,0.0
SYCP3,-1.0,-1.0,0.0
LOC105370014,-1.0,-1.0,0.0
SLC9A7P1,-1.0,-1.0,0.0
GNPTAB,-1.0,-1.0,0.0
SDSL,-1.0,-1.0,0.0
MIR3922,-1.0,-1.0,0.0
GAS2L3,-1.0,-1.0,0.0
UBE3B,-1.0,-1.0,0.0
LINC01486,-1.0,-1.0,0.0
HVCN1,-1.0,-1.0,0.0
FOXN4,-1.0,-1.0,0.0
ALKBH2,-1.0,-1.0,0.0
UNG,-1.0,-1.0,0.0
USP30-AS1,-1.0,-1.0,0.0
LINC01405,-1.0,-1.0,0.0
NEDD1,-1.0,-1.0,0.0
ACTR6,-1.0,-1.0,0.0
MYL2,-1.0,-1.0,0.0
MIR619,-1.0,-1.0,0.0
MIR6760,-1.0,-1.0,0.0
MIR4496,-1.0,-1.0,0.0
FAM109A,-1.0,-1.0,0.0
CKAP4,-1.0,-1.0,0.0
TMEM119,-1.0,-1.0,0.0
LOC105369980,-1.0,-1.0,0.0
ARPC3,-1.0,-1.0,0.0
ANAPC7,-1.0,-1.0,0.0
ATP2A2,-1.0,-1.0,0.0
IFT81,-1.0,-1.0,0.0
ACAD10,-1.0,-1.0,0.0
ANKRD13A,-1.0,-1.0,0.0
GPN3,-1.0,-1.0,0.0
GLTP,-1.0,-1.0,0.0
KCTD10,-1.0,-1.0,0.0
TCHP,-1.0,-1.0,0.0
MIR4497,-1.0,-1.0,0.0
RAD9B,-1.0,-1.0,0.0
FAM222A-AS1,-1.0,-1.0,0.0
TRPV4,-1.0,-1.0,0.0
FAM222A,-1.0,-1.0,0.0
PPTC7,-1.0,-1.0,0.0
MIR6861,-1.0,-1.0,0.0
PPP1CC,-1.0,-1.0,0.0
FAM216A,-1.0,-1.0,0.0
ALDH1L2,-1.0,-1.0,0.0
ADAM1A,-1.0,-1.0,0.0
ERP29,-1.0,-1.0,0.0
MIR3657,-1.0,-1.0,0.0
LOC414300,-1.0,-1.0,0.0
TRAFD1,-1.0,-1.0,0.0
RPL6,-1.0,-1.0,0.0
MIR1302-1,-1.0,-1.0,0.0
ISCU,-1.0,-1.0,0.0
OAS1,-1.0,-1.0,0.0
NFYB,-1.0,-1.0,0.0
GLT8D2,-1.0,-1.0,0.0
OAS3,-1.0,-1.0,0.0
C12orf73,-1.0,-1.0,0.0
DTX1,-1.0,-1.0,0.0
TDG,-1.0,-1.0,0.0
MIR3652,-1.0,-1.0,0.0
EID3,-1.0,-1.0,0.0
