Gene,IG Score Before Training,IG Score After Training,Difference
COX6C,0.45132276,0.89063454,0.43931177
RPL41,0.5319086,0.72177255,0.18986398
RPS18,0.23784752,0.25800237,0.020154849
EEF1A1,0.43853337,0.45217448,0.013641119
SLC39A6,0.4711581,0.47798413,0.006826043
BAMBI,0.38686377,0.39207006,0.005206287
XBP1,0.56940067,0.5736936,0.0042929053
RPS10,0.4526358,0.4559805,0.0033447146
RPS23,0.19215623,0.19523157,0.0030753464
RPL29,0.31608865,0.31826636,0.0021777153
CFB,0.45216975,0.45410475,0.0019350052
RPS27A,0.21158609,0.21350665,0.001920566
APOC1,0.37657693,0.37842134,0.0018444061
ZNF703,0.3220935,0.32393754,0.0018440485
TMEM150C,0.32549334,0.32724977,0.0017564297
RPL10A,0.31895885,0.3206277,0.0016688406
RPL3,0.29336533,0.2950098,0.0016444623
RPS24,0.23690946,0.2385473,0.0016378313
TNFSF10,0.43646693,0.4379869,0.001519978
GATA3,0.8049598,0.8062021,0.0012423396
RPL32,0.3483635,0.34958196,0.001218468
RPS29,0.32275394,0.32396474,0.0012108088
PBX1,0.83786297,0.83902687,0.0011638999
ADIRF,0.42150006,0.42252257,0.0010225177
RPL23A,0.1940594,0.19506876,0.00100936
RPL26,0.2319233,0.23284017,0.00091686845
HLA-DRA,0.7089177,0.70978916,0.0008714795
RACK1,0.534132,0.5349995,0.000867486
RPS8,0.13381793,0.134685,0.00086706877
RPS7,0.22989486,0.23069589,0.0008010268
H2AFJ,0.2184053,0.21918839,0.0007830858
RPL31,0.2763589,0.27710482,0.0007459223
RPL35A,0.17826669,0.17899084,0.00072415173
RPL37,0.077419005,0.07812221,0.00070320815
DDR1,0.24078298,0.2414714,0.00068841875
RPL30,0.70872664,0.7093994,0.0006727576
RPL21,0.3606925,0.36131883,0.0006263256
SRP14,0.2941481,0.29473665,0.00058856606
RPS15A,0.19984658,0.20042136,0.0005747825
CST3,0.23784406,0.23841795,0.0005738884
IL6ST,0.29818588,0.29875666,0.0005707741
BTF3,0.285893,0.28645533,0.00056234
CRABP2,0.33409268,0.33463854,0.00054585934
EIF4A1,0.47659886,0.47711602,0.0005171597
CSTA,0.29417044,0.2946243,0.00045385957
NACA,0.3207272,0.3211798,0.00045260787
HLA-B,0.24344835,0.24386503,0.00041668117
RAB11FIP1,0.26037732,0.26079395,0.00041663647
RPS17,0.3046956,0.3051012,0.0004055798
S100G,0.3004146,0.30079398,0.00037938356
TPT1,0.058643814,0.05899667,0.00035285577
COX7C,0.18316026,0.18351069,0.0003504306
LDLRAD4,0.268483,0.26882726,0.00034424663
PVALB,0.27690154,0.27724227,0.00034072995
AGR3,0.28361714,0.2839565,0.00033935905
HSBP1,0.25003725,0.25035834,0.00032109022
GRB2,0.23386966,0.23419018,0.00032052398
HLA-DRB1,0.3183365,0.31865394,0.00031745434
RPL5,0.25673106,0.2570379,0.0003068447
IGFBP4,0.326686,0.32698706,0.00030106306
MUC5B,0.23801726,0.23831186,0.00029459596
DSP,0.33314833,0.33344203,0.0002937019
TRPS1,0.31215596,0.3124443,0.00028833747
SERPINA3,0.83872634,0.83898634,0.00025999546
ACADSB,0.25183752,0.25209746,0.00025993586
CPB1,0.3564553,0.35671368,0.00025838614
TMEM101,0.26403856,0.2642769,0.00023832917
FCGRT,0.19497864,0.1952169,0.00023825467
ABHD2,0.2945966,0.2948346,0.00023800135
RPL24,0.29898363,0.29922158,0.00023794174
RPL6,0.31926316,0.3195003,0.00023713708
IER3,0.21785337,0.21809006,0.00023669004
HSP90AB1,0.08368574,0.08392178,0.00023604184
MPC2,0.23681931,0.23704804,0.00022873282
ATP6V1G1,0.25573903,0.25596553,0.00022649765
IFI6,0.23488617,0.23510933,0.00022315979
MALAT1,0.12372025,0.12394112,0.00022087246
RPS6,0.12019865,0.1204146,0.00021594763
ERLIN2,0.2646621,0.26486987,0.00020778179
RPL37A,0.044945948,0.04515304,0.00020709261
SKP1,0.2931271,0.29332817,0.00020107627
RBBP7,0.24515839,0.24535812,0.00019973516
RPL22,0.21481897,0.21501715,0.00019818544
ILF2,0.22864555,0.2288422,0.00019665062
GFRA1,0.29849246,0.29868898,0.00019651651
TBC1D9,0.26020288,0.26039785,0.0001949668
EXOC2,0.24958365,0.2497784,0.00019475818
HLA-DPB1,0.32012174,0.3203101,0.00018835068
HLA-DRB5,0.2855088,0.2856892,0.00018039346
COPS9,0.2689411,0.2691204,0.00017929077
NFATC4,0.27080432,0.27098265,0.0001783371
GATA3-AS1,0.2745735,0.27474922,0.0001757145
CRIP2,0.29144135,0.29161626,0.00017490983
FAM234B,0.277591,0.27776238,0.00017139316
NEDD8,0.23024932,0.23041882,0.00016950071
