Gene,IG Score Before Training,IG Score After Training,Difference
MUCL1,0.63162357,0.75284785,0.121224284
IFI6,0.23488617,0.24299231,0.008106142
IFITM3,0.52012205,0.5251451,0.005023062
ACTB,0.6716514,0.67569923,0.004047811
UBC,0.78584635,0.78896093,0.003114581
SCGB2A2,0.23211576,0.23428395,0.0021681935
HLA-C,0.42991745,0.43123502,0.0013175607
ISG15,0.789699,0.7907248,0.0010257959
ASPH,0.25660467,0.25762415,0.0010194778
IFI27,0.12729077,0.12808207,0.00079129636
PPP1R1A,0.25586504,0.25647008,0.00060504675
TOP2A,0.31797263,0.31853297,0.00056034327
CRABP2,0.33409268,0.334603,0.00051033497
MX1,0.33795598,0.33845848,0.00050249696
SCGB1D2,0.766649,0.7671074,0.00045841932
TRPS1,0.31215596,0.31260893,0.0004529655
DBI,0.20582654,0.20623466,0.0004081279
PFN1,0.27494338,0.27534202,0.00039863586
IFITM2,0.3019995,0.30234888,0.00034937263
IFI44L,0.28888336,0.2892141,0.00033074617
TMSB4X,0.017747883,0.018072907,0.00032502413
HIST1H1B,0.6311262,0.6314496,0.0003233552
NCL,0.3524345,0.3527515,0.0003170073
XBP1,0.56940067,0.5697152,0.0003145337
TNFSF10,0.43646693,0.43678036,0.00031343102
ERBB2,0.24853344,0.24884556,0.00031211972
PEG10,0.16172959,0.16202919,0.00029960275
IFI44,0.2990398,0.29933938,0.00029957294
HIST1H4C,0.2725241,0.2728218,0.0002977252
S100A14,0.23906673,0.23935004,0.00028330088
APOD,0.24343117,0.24371435,0.00028318167
CYP4Z1,0.27391082,0.2741873,0.00027647614
HIST1H2BG,0.26545522,0.26572412,0.00026890635
GATA3,0.8049598,0.805227,0.00026720762
PSMD3,0.22827561,0.22852975,0.0002541393
CXCR4,0.26333648,0.26358336,0.00024688244
PIP,0.22915557,0.22939412,0.00023855269
MDK,0.31948632,0.31972137,0.00023505092
HNRNPA3,0.15621991,0.15645328,0.00023336709
OAS2,0.2969828,0.29720715,0.00022435188
HIST1H3H,0.26889408,0.2691154,0.00022131205
PSME2,0.2756776,0.27589804,0.00022044778
FADS2,0.21593414,0.21615355,0.0002194047
TFAP2B,0.26981115,0.27002984,0.00021868944
EIF4A1,0.47659886,0.4768165,0.00021764636
IFITM1,0.27674258,0.2769547,0.00021213293
HIST1H2BH,0.25100416,0.25121513,0.00021097064
EFHD1,0.27394164,0.27415085,0.0002092123
PARP14,0.35436216,0.3545705,0.00020834804
SNCG,0.2755338,0.27573648,0.0002026856
HNRNPC,0.25396267,0.25415403,0.00019136071
SPDEF,0.29676846,0.29695857,0.00019010901
