Gene,IG Score Before Training,IG Score After Training,Difference
KRT13,0.36961538,0.37090427,0.0012888908
S100A9,0.49545056,0.4962597,0.00080913305
KRT16,0.3784273,0.3788449,0.00041759014
IFITM3,0.52012205,0.52045834,0.0003362894
XBP1,0.56940067,0.56972927,0.0003286004
HLA-E,0.3488634,0.34916103,0.0002976358
S100A8,0.8369639,0.83722806,0.0002641678
KRT14,0.29514623,0.29540324,0.00025701523
KRT4,0.27528042,0.2754921,0.0002116859
TYMP,0.3135761,0.31375504,0.00017893314
MZB1,0.27086264,0.2710241,0.00016146898
IFI6,0.23488617,0.23504259,0.00015641749
IDO1,0.26839033,0.26853198,0.00014165044
IFI27,0.12729077,0.12742285,0.0001320839
DERL3,0.26904473,0.26917258,0.00012785196
SSR4,0.2150308,0.2151516,0.00012078881
KRT5,0.40277094,0.402891,0.00012007356
HLA-A,0.6349154,0.6350308,0.00011539459
SPRR2A,0.26883304,0.2689477,0.000114649534
IRF9,0.30363914,0.3037348,9.5665455e-05
LSP1,0.2916919,0.29178703,9.512901e-05
ANXA1,0.81847674,0.8185652,8.845329e-05
POU2AF1,0.26966408,0.26975164,8.755922e-05
LAPTM5,0.26453406,0.26462075,8.6694956e-05
HERPUD1,0.24684466,0.2469305,8.583069e-05
TPSB2,0.2672044,0.26728052,7.611513e-05
FABP5,0.2583491,0.25842303,7.393956e-05
ISG15,0.789699,0.7897704,7.1406364e-05
CD55,0.56609964,0.56617105,7.1406364e-05
APOL1,0.28001618,0.28008676,7.05719e-05
TAP1,0.22930181,0.22937164,6.982684e-05
SERPINB2,0.26926845,0.26933828,6.982684e-05
CD79A,0.26968205,0.269749,6.6936016e-05
EMP1,0.2878721,0.2879387,6.660819e-05
HLA-DRA,0.7089177,0.7089833,6.5624714e-05
PLSCR1,0.22382852,0.22389404,6.5520406e-05
CYBA,0.24438588,0.24445009,6.42091e-05
ODF3B,0.2908332,0.29089725,6.404519e-05
C1R,0.41282275,0.41288656,6.380677e-05
CDV3,0.2607336,0.26079625,6.264448e-05
HLA-DPB1,0.32012174,0.32018408,6.234646e-05
IFITM2,0.3019995,0.3020601,6.058812e-05
ODC1,0.37755004,0.37760955,5.9515238e-05
HAS3,0.27728772,0.2773468,5.9068203e-05
SPRR2D,0.2666654,0.26672336,5.7965517e-05
C3,0.42527354,0.42533144,5.7905912e-05
ISG20,0.2514534,0.2515098,5.6385994e-05
UBE2L6,0.23610263,0.23615843,5.580485e-05
SERPINB5,0.2774614,0.27751526,5.3852797e-05
IFI44,0.2990398,0.29909173,5.1915646e-05
PRDM1,0.25512367,0.25517344,4.976988e-05
SGK1,0.28994292,0.28999123,4.8309565e-05
TXNDC5,0.17751047,0.1775584,4.7937036e-05
APOL6,0.2541236,0.254171,4.7415495e-05
LY6D,0.26966283,0.26970986,4.7028065e-05
OAS2,0.2969828,0.29702908,4.6283007e-05
CFB,0.45216975,0.45221436,4.4614077e-05
SERPINB13,0.27054507,0.27058858,4.351139e-05
ECM1,0.27682862,0.27687192,4.3302774e-05
PML,0.26118433,0.26122665,4.2319298e-05
IFI30,0.338232,0.33827412,4.211068e-05
TSC22D3,0.26051643,0.26055834,4.1902065e-05
LAP3,0.27783006,0.27787104,4.0978193e-05
CIITA,0.26850227,0.26854303,4.0769577e-05
PIM2,0.25544798,0.25548857,4.0590763e-05
IKZF1,0.29422098,0.29426152,4.053116e-05
REC8,0.23217477,0.2322149,4.0128827e-05
HLA-DPA1,0.31330872,0.3133488,4.0084124e-05
CXCR4,0.26333648,0.26337558,3.9100647e-05
IL20RB,0.26928934,0.26932818,3.8832426e-05
FOS,0.10852811,0.108566694,3.8586557e-05
STAT2,0.27652234,0.27656054,3.8206577e-05
DDX5,0.392006,0.39204395,3.7938356e-05
FBLN2,0.27596906,0.27600643,3.7372112e-05
MCL1,0.6065519,0.6065883,3.6418438e-05
ANXA5,0.45882845,0.45886457,3.6120415e-05
SPCS3,0.26529914,0.26533493,3.579259e-05
ANO1,0.29570714,0.2957422,3.5077333e-05
CORO1A,0.28335562,0.28339022,3.4600496e-05
GLUL,0.15440476,0.15443921,3.4451485e-05
XAF1,0.27481344,0.27484727,3.3825636e-05
IRF1,0.22878827,0.2288217,3.3423305e-05
MX1,0.33795598,0.33798778,3.1799078e-05
GREM1,0.26993892,0.2699707,3.1769276e-05
COL4A1,0.37858066,0.37861192,3.1262636e-05
PECAM1,0.30473655,0.3047676,3.105402e-05
ADAR,0.55659086,0.5566216,3.0755997e-05
PDZK1IP1,0.18474434,0.18477465,3.0308962e-05
WIPF1,0.32528412,0.3253141,2.9981136e-05
HLA-F,0.27300888,0.27303866,2.977252e-05
EHBP1L1,0.2471346,0.2471641,2.95043e-05
TRIM22,0.29106385,0.29109314,2.9295683e-05
FOSL1,0.2540632,0.25409204,2.8848648e-05
IFI44L,0.28888336,0.28891194,2.8580427e-05
SBNO2,0.24508744,0.24511558,2.8133392e-05
PSMB9,0.23011476,0.23014238,2.7626753e-05
PSMB10,0.22893228,0.22895929,2.7015805e-05
NFKB2,0.2599082,0.25993514,2.69413e-05
ERN1,0.25884128,0.25886813,2.6851892e-05
CREB3L2,0.24138615,0.24141277,2.6628375e-05
DUOX2,0.36106557,0.36109176,2.6196241e-05
TAPBP,0.2312202,0.23124601,2.5808811e-05
MAPKAPK2,0.22709526,0.22712101,2.5749207e-05
LAMB3,0.2646593,0.26468465,2.5361776e-05
PTPRE,0.27248973,0.2725149,2.5182962e-05
SEL1L3,0.21793143,0.21795653,2.5093555e-05
MAP2K3,0.23320799,0.23323292,2.4929643e-05
CD27,0.26980773,0.26983222,2.4497509e-05
IFITM1,0.27674258,0.27676615,2.3573637e-05
C1QB,0.26997346,0.26999673,2.3275614e-05
SMAP2,0.2763586,0.27638173,2.3126602e-05
PTGDS,0.20782536,0.2078472,2.1830201e-05
TYROBP,0.26663363,0.26665467,2.104044e-05
SERPINE1,0.27444473,0.27446574,2.1010637e-05
EIF4B,0.22042283,0.22044384,2.1010637e-05
GBP1,0.20903729,0.2090583,2.1010637e-05
IRF4,0.26998758,0.27000818,2.0593405e-05
TP53INP1,0.2733272,0.27334777,2.0563602e-05
FKBP11,0.22759922,0.22761953,2.0310283e-05
SPRR3,0.26905546,0.26907566,2.0205975e-05
LUM,0.2845147,0.2845349,2.0205975e-05
THEMIS2,0.29010922,0.29012904,1.9818544e-05
CD3D,0.26674372,0.2667634,1.9669533e-05
CTSS,0.66473275,0.66475207,1.9311905e-05
PKP1,0.30253118,0.30255046,1.9282103e-05
LTB,0.27551767,0.2755368,1.9133091e-05
WARS,0.21810369,0.21812277,1.9073486e-05
KLHDC7B,0.27064624,0.27066523,1.898408e-05
ITGA6,0.1770448,0.17706352,1.873076e-05
SLA,0.26660064,0.26661924,1.859665e-05
MMP10,0.2651463,0.2651648,1.8507242e-05
IL6ST,0.29818588,0.29820436,1.847744e-05
PTPRC,0.2728947,0.27291316,1.8447638e-05
CTSZ,0.35331634,0.3533337,1.7374754e-05
ST6GAL1,0.2924989,0.29251608,1.719594e-05
LYPD3,0.27084744,0.27086458,1.7136335e-05
KYNU,0.27124324,0.27126023,1.6987324e-05
RAB31,0.27634335,0.27636018,1.6838312e-05
CEBPD,0.19736798,0.19738477,1.6793609e-05
JAK3,0.2742311,0.27424785,1.6748905e-05
OSMR,0.2772717,0.27728832,1.6629696e-05
SYVN1,0.23897256,0.23898917,1.6614795e-05
ARHGAP45,0.2655741,0.2655907,1.6599894e-05
RHCG,0.27029476,0.27031103,1.6272068e-05
PARP9,0.2615424,0.26155853,1.6123056e-05
GJB3,0.26496354,0.2649796,1.6063452e-05
ARPC5L,0.21211417,0.21213013,1.5959144e-05
GBP2,0.23611136,0.23612724,1.5884638e-05
SULF1,0.28988072,0.2898966,1.5884638e-05
DDX21,0.2141525,0.21416824,1.5735626e-05
SKAP1,0.26691923,0.26693463,1.54078e-05
ALDH1A3,0.29078555,0.29080093,1.5377998e-05
DSG3,0.27333334,0.27334842,1.5079975e-05
FTL,0.26848438,0.26849946,1.5079975e-05
SERPINB1,0.18412997,0.18414502,1.5050173e-05
SOD3,0.24953535,0.24955037,1.50203705e-05
GSDMB,0.2618653,0.26188022,1.49309635e-05
CCND2,0.25907174,0.25908655,1.4811754e-05
TM4SF1,0.10996921,0.10998394,1.4729798e-05
PPP1R18,0.25784343,0.25785813,1.4692545e-05
DUSP7,0.24261346,0.24262814,1.4677644e-05
DNAJA1,0.20197153,0.20198591,1.4379621e-05
SOCS1,0.2642563,0.26427066,1.4364719e-05
GABRE,0.41143438,0.41144866,1.4275312e-05
SLC9A3R1,0.34609273,0.3461068,1.4066696e-05
RAC2,0.26595393,0.26596797,1.4036894e-05
KLHL6,0.2705787,0.2705926,1.3887882e-05
MMP1,0.25561723,0.2556307,1.347065e-05
GMFG,0.2716256,0.271639,1.3381243e-05
CCDC69,0.27097672,0.27099,1.3291836e-05
PTK2B,0.26873112,0.26874432,1.3202429e-05
KLK10,0.2574908,0.25750378,1.296401e-05
COTL1,0.31773317,0.31774607,1.2904406e-05
FKBP5,0.22003114,0.22004397,1.28299e-05
TNIP1,0.23797311,0.23798592,1.2814999e-05
ATP2A3,0.2562683,0.25628087,1.257658e-05
GPNMB,0.7241017,0.72411424,1.2516975e-05
LRRC4,0.2528959,0.25290835,1.2457371e-05
RASA2,0.24582209,0.2458343,1.2218952e-05
ZFP36L2,0.1899023,0.18991429,1.1980534e-05
MSN,0.24080399,0.24081556,1.1578202e-05
HLA-DMA,0.27737737,0.27738893,1.1563301e-05
IRF7,0.26319546,0.26320684,1.1384487e-05
UBE2H,0.24225375,0.24226506,1.1309981e-05
TCIRG1,0.2850315,0.28504258,1.1086464e-05
TNFSF10,0.43646693,0.43647784,1.090765e-05
PSMB8,0.19712205,0.19713289,1.0833144e-05
VCP,0.25157908,0.25158986,1.0788441e-05
CD68,0.26783577,0.2678465,1.0728836e-05
AMOTL1,0.2670255,0.26703614,1.0639429e-05
TWIST2,0.26972,0.2697304,1.04010105e-05
TAP2,0.18809241,0.18810272,1.0311604e-05
AKNA,0.27070025,0.27071023,9.983778e-06
CCL5,0.28039724,0.2804072,9.953976e-06
GZMB,0.28360352,0.28361347,9.953976e-06
IL32,0.08668334,0.08669329,9.946525e-06
SPI1,0.42749554,0.42750546,9.924173e-06
BCL3,0.2169022,0.21691202,9.819865e-06
RAB35,0.23655051,0.2365602,9.685755e-06
ETS1,0.26215217,0.26216167,9.506941e-06
OPTN,0.18853569,0.1885451,9.402633e-06
IRAK1,0.21491234,0.21492173,9.387732e-06
CRISPLD2,0.29336995,0.29337913,9.179115e-06
C1S,0.35322803,0.35323697,8.940697e-06
RALGDS,0.24455157,0.24456047,8.895993e-06
CSTB,0.18835084,0.18835968,8.836389e-06
CD37,0.2704965,0.2705053,8.821487e-06
EDEM1,0.2290031,0.22901188,8.776784e-06
IFIT3,0.25550663,0.2555154,8.761883e-06
CD53,0.27748057,0.2774892,8.612871e-06
TMEM140,0.2568708,0.2568793,8.493662e-06
IL2RG,0.23339961,0.2334079,8.285046e-06
CSNK1E,0.23840503,0.23841332,8.285046e-06
DSP,0.33314833,0.3331564,8.076429e-06
MYADM,0.24850811,0.24851619,8.076429e-06
SSR3,0.24249278,0.24250054,7.763505e-06
DUOXA2,0.28531525,0.28532287,7.6293945e-06
ALOX5,0.27087113,0.2708787,7.56979e-06
OAS1,0.2076048,0.20761229,7.495284e-06
PEA15,0.18653296,0.1865404,7.4356794e-06
DNAJC3,0.22735782,0.22736508,7.2568655e-06
SCO2,0.27407846,0.27408564,7.1823597e-06
SURF4,0.23804039,0.23804747,7.0780516e-06
SOCS3,0.22076897,0.22077604,7.0631504e-06
CCNL1,0.20489149,0.20489843,6.943941e-06
TGM1,0.2704037,0.27041057,6.854534e-06
PDIA4,0.2477183,0.2477251,6.7949295e-06
RGS1,0.26185164,0.2618583,6.67572e-06
SASH3,0.27092096,0.2709276,6.645918e-06
SERPINB9,0.33655143,0.33655798,6.556511e-06
WNT10A,0.27616024,0.27616662,6.377697e-06
ETV7,0.26985118,0.26985756,6.377697e-06
