Gene,IG Score Before Training,IG Score After Training,Difference
SPINK4,0.40924135,0.41041595,0.0011745989
FTL,0.26848438,0.26950067,0.001016289
FN1,0.48666874,0.48748106,0.0008123219
MUC6,0.68679595,0.6875053,0.0007093549
CD24,0.38336048,0.38400072,0.0006402433
MARCKSL1,0.28142825,0.2819903,0.000562042
PPIA,0.29157886,0.29208356,0.00050470233
IFI30,0.338232,0.33873585,0.00050383806
CTSZ,0.35331634,0.35381886,0.00050252676
COL4A2,0.56864697,0.56913304,0.00048607588
COL4A1,0.37858066,0.37906557,0.0004849136
SDC1,0.39708138,0.39754057,0.00045919418
A2M,0.5439902,0.54441893,0.0004287362
SULF1,0.28988072,0.2903074,0.00042667985
C1QA,0.28505045,0.28545147,0.00040102005
C3,0.42527354,0.42563325,0.00035971403
RACK1,0.534132,0.5344577,0.00032567978
LUM,0.2845147,0.2848361,0.00032141805
CTHRC1,0.29375482,0.2940714,0.00031659007
IGFBP4,0.326686,0.32698354,0.0002975464
RCC2,0.29368886,0.2939785,0.00028964877
C1QB,0.26997346,0.2702594,0.00028595328
CDX1,0.30380416,0.30408907,0.0002849102
HIST1H1E,0.22290704,0.22318022,0.000273183
DCN,0.43535355,0.43561497,0.00026142597
CXCL9,0.25447398,0.2547205,0.0002465248
BGN,0.3409781,0.3412223,0.00024420023
TIMP2,0.51558554,0.5158208,0.00023525953
FSTL1,0.3888219,0.389053,0.00023108721
THBS1,0.28158906,0.28181672,0.00022765994
MMP14,0.28041676,0.28063965,0.00022289157
SPP1,0.6507481,0.6509677,0.00021964312
POLR2L,0.22655012,0.22676843,0.00021831691
COL6A1,0.29761732,0.29783154,0.0002142191
C1R,0.41282275,0.4130353,0.00021255016
HMGA1,0.26962966,0.26984063,0.00021097064
HNRNPF,0.24956778,0.24977374,0.00020596385
CXCL10,0.24170023,0.2419056,0.0002053678
TPM2,0.4789158,0.47911757,0.00020176172
LY6E,0.41840965,0.41860524,0.00019559264
SPI1,0.42749554,0.4276896,0.00019407272
MMP2,0.34286815,0.34305832,0.00019016862
C1QC,0.20986807,0.21005802,0.0001899451
POSTN,0.29091507,0.29110432,0.00018924475
CYBA,0.24438588,0.24457476,0.00018887222
IFITM3,0.52012205,0.5203076,0.00018554926
AEBP1,0.34404606,0.34423044,0.00018438697
POLD2,0.22878247,0.22896647,0.00018399954
GSN,0.2901528,0.29033467,0.00018188357
HIST1H4C,0.2725241,0.2727051,0.0001810193
TPST2,0.2837984,0.28397885,0.00018045306
IGFBP3,0.28868,0.28886032,0.00018033385
COL6A3,0.41121373,0.4113939,0.00018018484
MYL6,0.15327083,0.15344937,0.00017854571
CTSS,0.66473275,0.6649103,0.00017756224
STOM,0.28753972,0.28771672,0.00017699599
LGALS1,0.71029806,0.71047455,0.00017648935
P4HB,0.30240962,0.3025832,0.00017356873
TAPBP,0.2312202,0.23139271,0.00017251074
ARHGDIB,0.2491551,0.24932614,0.00017103553
MUC5AC,0.2900673,0.2902374,0.00017011166
CYBB,0.26012892,0.2602988,0.00016987324
SRRM2,0.29551044,0.29567912,0.00016868114
LITAF,0.4880689,0.48823717,0.00016826391
COL18A1,0.36062154,0.3607878,0.00016626716
IFI6,0.23488617,0.23505192,0.00016574562
C1S,0.35322803,0.35338655,0.00015851855
PCBP2,0.33147883,0.33163512,0.00015628338
LCP1,0.23539045,0.2355448,0.00015434623
UBTF,0.2576454,0.25779745,0.00015205145
CTNNB1,0.27011052,0.27026147,0.00015094876
CAPG,0.26709354,0.2672415,0.00014796853
LAPTM5,0.26453406,0.26468176,0.00014770031
GUK1,0.23101853,0.23116513,0.00014659762
TYMP,0.3135761,0.313721,0.00014489889
THY1,0.28067732,0.28081647,0.00013914704
CCND2,0.25907174,0.25921085,0.00013911724
LGALS3BP,0.19785522,0.19799331,0.00013808906
COL1A2,0.20068406,0.20082064,0.00013658404
ARPC1B,0.26107213,0.26120776,0.00013563037
CD163,0.27572066,0.27585346,0.00013279915
COL5A2,0.2759301,0.27606207,0.00013196468
SFN,0.32707608,0.32720795,0.00013187528
CBFB,0.24998319,0.25011483,0.00013163686
CLTA,0.24988306,0.2500131,0.00013005733
RRM2,0.28378674,0.28391644,0.0001296997
LUC7L3,0.22681104,0.22694004,0.00012899935
SIVA1,0.23217861,0.23230739,0.00012877584
TPM1,0.21500888,0.21513757,0.00012868643
COTL1,0.31773317,0.31786174,0.00012856722
SET,0.24660598,0.24673437,0.0001283884
CNN2,0.24344459,0.24356942,0.00012482703
LCK,0.27660406,0.2767283,0.00012424588
AGRN,0.43897277,0.43909663,0.00012385845
COL5A1,0.29074606,0.2908695,0.00012344122
CSRP1,0.180946,0.18106928,0.0001232773
ITGB1,0.2839098,0.2840326,0.00012281537
ITGB2,0.26900062,0.26912278,0.00012215972
H3F3B,0.27805215,0.2781723,0.000120162964
CREB3L1,0.27515325,0.2752731,0.00011986494
INHBA,0.27886182,0.2789809,0.00011909008
ATP2C2,0.26306483,0.2631836,0.000118762255
ANTXR1,0.2841091,0.2842267,0.000117599964
LIPA,0.22225593,0.2223716,0.00011566281
SNRPB,0.17390102,0.17401628,0.00011526048
CHI3L1,0.28071958,0.28083435,0.00011476874
TGFBI,0.22362165,0.22373573,0.00011408329
AURKAIP1,0.26019537,0.2603092,0.00011381507
H2AFZ,0.23051561,0.23062898,0.000113368034
MYLK,0.3559777,0.35609072,0.00011301041
ASF1B,0.2689175,0.26902884,0.00011134148
IFI16,0.3185594,0.31867072,0.000111311674
CSNK2B,0.26561254,0.26572382,0.00011128187
EFHD2,0.37952927,0.37963974,0.00011047721
AHNAK,0.42537346,0.4254836,0.00011014938
TM7SF3,0.2413824,0.2414922,0.000109791756
FAM118A,0.24004613,0.24015556,0.00010943413
UBL5,0.25518975,0.2552978,0.00010806322
ZFP36L1,0.23520571,0.23531355,0.0001078397
APOL1,0.28001618,0.28012335,0.00010716915
CD14,0.26575005,0.26585707,0.00010702014
UQCRH,0.2245267,0.22463328,0.000106573105
CD4,0.26552507,0.26563123,0.00010615587
CKLF,0.26142564,0.261531,0.00010535121
MS4A6A,0.26721898,0.26732403,0.00010505319
UNG,0.25756168,0.25766465,0.000102967024
SOX9,0.23745973,0.23756239,0.0001026541
H2AFX,0.2561012,0.25620303,0.000101834536
SERPING1,0.27910003,0.2792018,0.00010177493
SNRPD1,0.26734138,0.2674426,0.00010123849
CCL5,0.28039724,0.28049836,0.00010111928
SH3BGRL3,0.22620383,0.22630425,0.000100418925
TCIRG1,0.2850315,0.28513128,9.9778175e-05
WIPF1,0.32528412,0.32538193,9.781122e-05
PLEKHO1,0.2725215,0.2726172,9.569526e-05
PECAM1,0.30473655,0.30483195,9.5397234e-05
CORO1A,0.28335562,0.28345004,9.441376e-05
TMSB4X,0.017747883,0.01784186,9.39779e-05
ARPC5,0.24330868,0.24340148,9.280443e-05
PLXND1,0.33632952,0.33642173,9.2208385e-05
FBN1,0.24216864,0.2422607,9.2059374e-05
S100P,0.19928372,0.19937566,9.1940165e-05
FCGR3A,0.2693471,0.26943803,9.0926886e-05
CTSK,0.2726153,0.2727056,9.030104e-05
PSME2,0.2756776,0.2757671,8.9496374e-05
GBP1,0.20903729,0.20912644,8.915365e-05
SDHA,0.24967444,0.24976353,8.909404e-05
ENG,0.3074705,0.30755937,8.8870525e-05
TUBB,0.22698647,0.22707534,8.8870525e-05
PLVAP,0.27815548,0.2782437,8.8214874e-05
AKT1,0.20245008,0.20253706,8.697808e-05
LAP3,0.27783006,0.27791604,8.59797e-05
SERPINH1,0.2641551,0.26424098,8.589029e-05
SPARC,0.9062073,0.9062931,8.5771084e-05
SERF2,0.08773407,0.08781979,8.571893e-05
ABHD2,0.2945966,0.29468212,8.550286e-05
FXYD5,0.7653931,0.7654781,8.499622e-05
ITGA1,0.3055711,0.3056554,8.428097e-05
TRIM22,0.29106385,0.29114798,8.4131956e-05
CALD1,0.11625926,0.11634338,8.4117055e-05
PSMB10,0.22893228,0.22901611,8.383393e-05
COX6B1,0.22422259,0.22430602,8.34316e-05
KCTD12,0.27757764,0.27766085,8.3208084e-05
CLIC1,0.21296766,0.2130505,8.2835555e-05
CAP1,0.26360598,0.2636887,8.273125e-05
COL11A1,0.27348793,0.2735703,8.237362e-05
GRN,0.19527824,0.1953603,8.2060695e-05
WDR34,0.24059963,0.2406812,8.156896e-05
MCAM,0.28779146,0.28787297,8.150935e-05
SMARCC2,0.2262123,0.22629334,8.1047416e-05
BRI3BP,0.23803571,0.23811671,8.100271e-05
