Gene,IG Score Before Training,IG Score After Training,Difference
TMSB4X,0.017747883,0.9230265,0.9052786
FTL,0.26848438,0.37813622,0.109651834
KRT5,0.40277094,0.47544733,0.07267639
FXYD3,0.34138462,0.3964139,0.055029273
HIST1H1C,0.6057504,0.6239166,0.018166244
SFTPA1,0.8155532,0.82595485,0.010401666
SCGB1A1,0.3807514,0.38902184,0.0082704425
ABCC5,0.86207575,0.86979616,0.007720411
ATN1,0.4151709,0.4215891,0.0064181983
TIMP1,0.6608995,0.66685593,0.0059564114
LMNA,0.25221947,0.2575095,0.0052900314
TAP1,0.22930181,0.23399353,0.00469172
DDX5,0.392006,0.39663786,0.004631847
PARP14,0.35436216,0.35888022,0.004518062
MCL1,0.6065519,0.61073774,0.0041858554
ARGLU1,0.47489458,0.47903883,0.0041442513
COL6A3,0.41121373,0.4153492,0.0041354597
SOX2,0.89048094,0.89428586,0.003804922
A2M,0.5439902,0.54770285,0.003712654
CTSZ,0.35331634,0.3569743,0.0036579669
PFN1,0.27494338,0.27840772,0.0034643412
ADAR,0.55659086,0.55991393,0.0033230782
LGALS3BP,0.19785522,0.20104085,0.0031856298
TAPBP,0.2312202,0.23411363,0.002893433
IFI6,0.23488617,0.2377079,0.0028217286
GSTA1,0.3181238,0.32090783,0.0027840436
C3,0.42527354,0.42799574,0.0027222037
ACTB,0.6716514,0.67401505,0.0023636222
AKR1C2,0.8986045,0.9007995,0.0021950006
TYMP,0.3135761,0.31570968,0.002133578
APOE,0.96801883,0.9701147,0.0020958781
WARS,0.21810369,0.22016042,0.0020567328
APOL1,0.28001618,0.2818353,0.001819104
SLC34A2,0.56496876,0.566567,0.001598239
SQSTM1,0.9117973,0.91338986,0.0015925765
PSMB9,0.23011476,0.23167406,0.0015593022
C1QA,0.28505045,0.2864943,0.0014438629
APOL6,0.2541236,0.25540227,0.0012786686
ADAM23,0.47865456,0.47990233,0.0012477636
CALML3,0.354847,0.35604268,0.0011956692
ODF3B,0.2908332,0.29198027,0.0011470616
GPC1,0.55568033,0.55679613,0.001115799
ASPH,0.25660467,0.25771874,0.0011140704
TMSB10,0.041593935,0.042686593,0.0010926574
COL6A2,0.4313057,0.43238893,0.001083225
IFI30,0.338232,0.339293,0.0010609925
C1QC,0.20986807,0.21091446,0.0010463893
HNRNPA2B1,0.14769831,0.14872049,0.001022175
MX1,0.33795598,0.33897355,0.0010175705
CFLAR,0.24736074,0.24834897,0.0009882301
IRF1,0.22878827,0.22977291,0.0009846389
LY6E,0.41840965,0.41939074,0.0009810925
C1R,0.41282275,0.41379908,0.0009763241
LAP3,0.27783006,0.2787697,0.0009396374
COL4A1,0.37858066,0.37949973,0.0009190738
EPPK1,0.2604477,0.26135626,0.0009085536
C1QB,0.26997346,0.2708631,0.0008896291
PSME1,0.08160014,0.082485855,0.00088571757
AQP1,0.5205987,0.5214157,0.00081700087
FBN2,0.3044826,0.30523267,0.00075006485
PLTP,0.25573006,0.25646624,0.00073617697
COL6A1,0.29761732,0.29834002,0.0007227063
CXCL10,0.24170023,0.24241532,0.0007150918
CCNL2,0.20464233,0.20535578,0.0007134527
CD9,0.98286575,0.9835625,0.0006967783
CTSB,0.93534154,0.93600565,0.00066411495
SFTPD,0.27973303,0.28037825,0.0006452203
SPI1,0.42749554,0.42813712,0.0006415844
SCO2,0.27407846,0.27468857,0.00061011314
IGFBP4,0.326686,0.3272805,0.0005944967
CYTH1,0.25757802,0.25816447,0.0005864501
PLXNB2,0.27206928,0.2726402,0.0005709231
RSRP1,0.24188532,0.24245378,0.0005684644
IFI27,0.12729077,0.1278403,0.000549525
ANKRD62,0.31116366,0.3117106,0.0005469322
SAT1,0.06995707,0.07049928,0.00054220855
GLUL,0.15440476,0.15494563,0.00054086745
CXCL9,0.25447398,0.25500685,0.0005328655
GBP1,0.20903729,0.20956457,0.0005272776
UBE2L6,0.23610263,0.2366125,0.00050987303
RNF213,0.24271466,0.24321972,0.00050505996
NPC2,0.24315412,0.24365395,0.00049982965
TXNIP,0.22322984,0.22372772,0.0004978776
CD163,0.27572066,0.2762172,0.0004965365
IFI16,0.3185594,0.31905064,0.0004912317
CD14,0.26575005,0.2662304,0.00048035383
PSMB8,0.19712205,0.19758621,0.00046415627
LITAF,0.4880689,0.48852196,0.0004530549
TAP2,0.18809241,0.18853539,0.00044298172
VAMP8,0.24022946,0.24067037,0.00044091046
JUNB,0.25650808,0.256939,0.00043091178
PSMB10,0.22893228,0.22936223,0.0004299581
SRRT,0.27475998,0.27518734,0.0004273653
NLRC5,0.2307511,0.23117448,0.0004233867
TRIM22,0.29106385,0.2914859,0.0004220605
TGIF1,0.2929819,0.2934028,0.0004208982
