Gene,IG Score Before Training,IG Score After Training,Difference
GPNMB,0.7241017,0.7276339,0.0035321712
S100A1,0.53654796,0.5396272,0.0030792356
ANXA5,0.45882845,0.46151665,0.0026881993
METTL9,0.28228283,0.28446388,0.0021810532
IFI27L2,0.36963955,0.3718119,0.0021723509
PCDH7,0.2797351,0.28159738,0.0018622875
FTL,0.26848438,0.27017486,0.0016904771
RACK1,0.534132,0.5356782,0.0015462041
ST3GAL4,0.31557366,0.3170734,0.0014997423
DST,0.26059273,0.2619552,0.0013624728
IFI27,0.12729077,0.12840305,0.0011122823
IFI6,0.23488617,0.23590897,0.0010228008
NSG1,0.30618963,0.30712667,0.0009370446
KCNMA1,0.22586417,0.22677754,0.0009133667
PLP1,0.30463108,0.3055033,0.00087222457
MARCKSL1,0.28142825,0.28215253,0.00072428584
LY6E,0.41840965,0.41912493,0.00071528554
WARS,0.21810369,0.21880493,0.00070123374
ADGRG1,0.2549974,0.25565296,0.0006555617
GYPC,0.275704,0.27632162,0.00061762333
HMCN1,0.3089701,0.30958167,0.00061157346
EDNRB,0.29471356,0.2953131,0.0005995333
FMNL2,0.26599234,0.2665888,0.0005964637
SLC44A1,0.25049728,0.25108436,0.00058707595
COL1A2,0.20068406,0.20126212,0.00057806075
GMPR,0.29146785,0.292021,0.0005531609
ZNF106,0.2700361,0.27056083,0.0005247295
CAPN3,0.29409456,0.29461405,0.0005194843
IFITM3,0.52012205,0.52064115,0.00051909685
FN1,0.48666874,0.48718134,0.00051259995
FKBP10,0.27126658,0.27175462,0.00048804283
PHACTR1,0.26626077,0.26673162,0.0004708469
PAX3,0.28748968,0.28796014,0.00047045946
PTTG1IP,0.46029726,0.46075532,0.0004580617
TYR,0.2429298,0.24338345,0.00045365095
GRK3,0.2688978,0.26933673,0.0004389286
CTSF,0.260737,0.26116496,0.00042796135
TBC1D16,0.2889787,0.28939995,0.00042125583
XBP1,0.56940067,0.5698185,0.00041782856
CRTAC1,0.2730409,0.2734503,0.0004093945
TAP1,0.22930181,0.22970769,0.00040587783
SCARB2,0.19691356,0.19731563,0.00040207803
ST3GAL6,0.2734072,0.27380806,0.00040087104
S100A6,0.5874915,0.58788836,0.00039684772
PTGDS,0.20782536,0.20821522,0.00038985908
SDC3,0.26193345,0.26232144,0.00038799644
PRAME,0.31771544,0.31810066,0.00038522482
COL11A2,0.27288952,0.27326527,0.00037574768
LGALS3BP,0.19785522,0.19822784,0.00037261844
PCSK2,0.21717793,0.21754847,0.00037054718
IL12RB2,0.27246144,0.27283102,0.0003695786
GRINA,0.23811027,0.23847796,0.00036768615
MFGE8,0.31114167,0.3115091,0.00036743283
APP,0.92915577,0.9295152,0.000359416
MCAM,0.28779146,0.28814307,0.0003516078
TF,0.2821157,0.2824559,0.0003401935
S100A13,0.29818648,0.29852486,0.00033837557
LIMD1,0.24235658,0.24267955,0.00032296777
PTPRJ,0.23606211,0.23637137,0.0003092587
SPP1,0.6507481,0.6510429,0.00029480457
USP48,0.25014383,0.2504358,0.00029197335
MREG,0.2693885,0.26967826,0.00028976798
SH3BP4,0.28912172,0.2894115,0.00028976798
VAT1,0.23050855,0.23079632,0.00028777122
C1QA,0.28505045,0.28532675,0.00027629733
ATP1A1,0.18919872,0.18947348,0.0002747625
SOX6,0.28699836,0.28727248,0.00027412176
ALKBH6,0.26076555,0.26103625,0.0002706945
EIF3A,0.33046213,0.33072683,0.00026470423
NDUFB9,0.18558793,0.18585064,0.00026270747
CARMIL1,0.23852234,0.23878133,0.00025899708
PRKACB,0.19417286,0.19442798,0.00025512278
AIF1L,0.27826363,0.27851486,0.00025123358
PICALM,0.21556434,0.21580298,0.0002386421
KIF13A,0.2320181,0.23224789,0.0002297908
WDFY1,0.25297424,0.25320217,0.00022792816
LAP3,0.27783006,0.27805245,0.00022238493
C1S,0.35322803,0.3534459,0.00021785498
ETS1,0.26215217,0.26236778,0.0002156198
ERBB3,0.23519345,0.23540677,0.00021332502
MFSD10,0.2620025,0.2622138,0.00021129847
MAGED2,0.14636655,0.14657445,0.000207901
UQCRB,0.17522746,0.17543507,0.00020760298
DPYSL2,0.17323478,0.17344008,0.0002053082
CYGB,0.2731445,0.27334845,0.00020393729
CD81,0.337223,0.33742633,0.00020334125
VAMP8,0.24022946,0.2404291,0.00019964576
SLC25A4,0.17023803,0.17043234,0.00019431114
CFAP97,0.26809627,0.26828876,0.0001924932
LIMD2,0.3261642,0.32635236,0.00018817186
CAST,0.23194169,0.23212934,0.00018765032
ASAP1,0.26609087,0.26627818,0.0001873076
TRAK2,0.26401556,0.26420233,0.00018677115
SLC39A6,0.4711581,0.47134405,0.00018596649
SLC25A6,0.2807658,0.2809492,0.00018340349
PSMB8,0.19712205,0.19730432,0.000182271
CXCL10,0.24170023,0.24188228,0.00018204749
SERPINH1,0.2641551,0.2643327,0.00017762184
TAPBP,0.2312202,0.23139282,0.00017261505
INSC,0.27019817,0.2703675,0.0001693368
TGIF1,0.2929819,0.29314888,0.00016698241
GPR158,0.26966444,0.26983044,0.00016599894
ST3GAL1,0.24949053,0.24965322,0.00016269088
UGCG,0.2494969,0.24965923,0.00016231835
APOC1,0.37657693,0.37673637,0.00015944242
EI24,0.21312876,0.21328786,0.0001590997
CCDC50,0.27862996,0.2787878,0.0001578331
ST6GAL1,0.2924989,0.2926562,0.00015732646
GNPTAB,0.26451078,0.2646667,0.00015592575
VPS28,0.21936245,0.21951814,0.00015568733
ADI1,0.18775086,0.18790452,0.00015366077
CST2,0.27031767,0.2704704,0.0001527369
SLC29A1,0.2514648,0.25161693,0.00015211105
NRCAM,0.19815312,0.19830452,0.0001513958
MLANA,0.9627334,0.9628826,0.00014919043
GULP1,0.2706789,0.2708268,0.00014787912
WWTR1,0.27990967,0.28005645,0.00014677644
SOCS6,0.2741095,0.274255,0.00014549494
PLOD1,0.25813624,0.2582805,0.00014424324
ITGB5,0.26762453,0.2677655,0.00014096498
LUM,0.2845147,0.28465304,0.00013834238
PIM2,0.25544798,0.2555851,0.00013712049
NAPRT,0.22855489,0.22869067,0.00013577938
PARP14,0.35436216,0.35449752,0.00013536215
UBL3,0.23544495,0.23557973,0.000134781
SCARB1,0.25834015,0.2584733,0.00013315678
LAPTM4B,0.16674428,0.16687742,0.00013314188
C1QC,0.20986807,0.20999976,0.00013168156
EMP1,0.2878721,0.2880035,0.00013139844
CCNI,0.12511146,0.12524201,0.00013054907
MX1,0.33795598,0.33808336,0.00012737513
ISG15,0.789699,0.78982526,0.00012624264
IFI44L,0.28888336,0.28900906,0.0001257062
OSBPL9,0.2319841,0.23210798,0.00012388825
CABLES1,0.27618578,0.2763088,0.00012302399
MAP3K3,0.26703754,0.26715982,0.00012227893
APOD,0.24343117,0.24355316,0.00012199581
C1QB,0.26997346,0.27009463,0.00012117624
