Gene,IG Score Before Training,IG Score After Training,Difference
FTL,0.26848438,0.27064916,0.002164781
UBC,0.78584635,0.78785795,0.0020115972
JUNB,0.25650808,0.25764573,0.001137644
SLC34A2,0.56496876,0.5659752,0.0010064244
UBD,0.29812452,0.29898456,0.0008600354
KRT7,0.33026794,0.33093703,0.00066909194
TACSTD2,0.31130713,0.31189966,0.0005925298
IER2,0.26413926,0.2646912,0.000551939
SPP1,0.6507481,0.65129894,0.0005508661
HBA2,0.57568765,0.57617277,0.0004851222
CTSZ,0.35331634,0.35378826,0.00047191978
CRYAB,0.6296342,0.63010293,0.00046873093
C1QB,0.26997346,0.270393,0.0004195571
MCL1,0.6065519,0.60690105,0.000349164
TGM2,0.30939066,0.30973738,0.00034672022
IFI30,0.338232,0.33857813,0.00034612417
HLA-DRA,0.7089177,0.70924145,0.00032377243
ICAM1,0.254078,0.25439048,0.00031247735
BIRC3,0.25482664,0.2551302,0.00030356646
CLDN1,0.25971556,0.259997,0.00028145313
ENO1,0.6200437,0.6203239,0.00028020144
HLA-DRB1,0.3183365,0.31860965,0.0002731681
FOSB,0.28092116,0.2811929,0.00027173758
ATF3,0.19739042,0.19765756,0.00026713312
CCL5,0.28039724,0.28065056,0.00025331974
C1S,0.35322803,0.3534694,0.00024136901
FOS,0.10852811,0.10876113,0.00023302436
RGS1,0.26185164,0.2620777,0.00022605062
GNLY,0.27469292,0.27491373,0.0002208054
TXNIP,0.22322984,0.22344938,0.00021953881
LAPTM5,0.26453406,0.2647453,0.00021123886
ARHGDIB,0.2491551,0.24936439,0.00020928681
CTSS,0.66473275,0.6649401,0.00020736456
APOC1,0.37657693,0.37677824,0.00020131469
HLA-DQA1,0.276468,0.27666852,0.00020051003
FN1,0.48666874,0.48686743,0.00019869208
SOCS3,0.22076897,0.22096029,0.00019131601
SERPINA1,0.29883274,0.29901624,0.0001834929
TAP1,0.22930181,0.22948436,0.00018255413
PARP14,0.35436216,0.35453779,0.00017562509
MMP9,0.25895768,0.25913224,0.0001745522
COTL1,0.31773317,0.31790754,0.00017437339
CXCL9,0.25447398,0.25464803,0.00017404556
ITGB8,0.2690725,0.2692463,0.00017380714
TYMP,0.3135761,0.3137466,0.00017049909
S100A9,0.49545056,0.49561647,0.00016590953
WARS,0.21810369,0.21826397,0.00016027689
TNFAIP2,0.26534852,0.2655087,0.00016018748
PTPRC,0.2728947,0.27305418,0.00015947223
HLA-DPA1,0.31330872,0.31346276,0.0001540482
LAMA3,0.25749806,0.25765204,0.0001539886
DDIT4,0.5838055,0.5839587,0.00015318394
C1QA,0.28505045,0.2852023,0.00015184283
GBP1,0.20903729,0.20918721,0.00014992058
STK17B,0.25857654,0.25872603,0.00014948845
MMP12,0.537384,0.53753334,0.00014936924
HLA-DRB5,0.2855088,0.28565714,0.00014832616
CTSC,0.2907455,0.29089364,0.00014814734
MAL,0.2776356,0.27778307,0.00014746189
SGK1,0.28994292,0.29008943,0.00014650822
ZFP36L2,0.1899023,0.19003814,0.00013583899
WIPF1,0.32528412,0.32541358,0.00012946129
LSP1,0.2916919,0.29182005,0.00012814999
LAP3,0.27783006,0.27795762,0.00012755394
PFN1,0.27494338,0.27507037,0.0001269877
CD3D,0.26674372,0.2668697,0.00012597442
TYROBP,0.26663363,0.26675898,0.00012534857
ITGB2,0.26900062,0.2691259,0.00012528896
CYBB,0.26012892,0.26025087,0.0001219511
HLA-F,0.27300888,0.2731296,0.00012072921
HIST1H3H,0.26889408,0.26901054,0.000116467476
DUSP1,0.13364716,0.1337624,0.00011524558
CD14,0.26575005,0.26586458,0.000114530325
C1QC,0.20986807,0.20998198,0.000113904476
CD53,0.27748057,0.27759436,0.00011378527
MZB1,0.27086264,0.2709764,0.000113755465
HIST1H2AG,0.26740614,0.26751974,0.00011360645
ARRDC3,0.25664076,0.25675327,0.00011250377
HMOX1,0.2572571,0.25736862,0.00011152029
GLUL,0.15440476,0.15451598,0.00011122227
RAC2,0.26595393,0.26606178,0.000107854605
FCER1G,0.2536087,0.25371394,0.000105232
FCGR3A,0.2693471,0.2694514,0.00010430813
LITAF,0.4880689,0.48817307,0.00010415912
TNFRSF11B,0.2691854,0.2692886,0.00010320544
RASSF4,0.26878792,0.2688901,0.00010219216
CD163,0.27572066,0.27582216,0.00010150671
GZMA,0.27163282,0.27173316,0.00010034442
MS4A6A,0.26721898,0.26731893,9.995699e-05
HLA-DPB1,0.32012174,0.32022163,9.9897385e-05
HIST1H4I,0.26820597,0.26830578,9.980798e-05
CD68,0.26783577,0.26793456,9.87947e-05
FSTL3,0.27177545,0.2718728,9.7334385e-05
CORO1A,0.28335562,0.2834514,9.5784664e-05
PDLIM4,0.2669896,0.26708314,9.354949e-05
CLIC1,0.21296766,0.21306042,9.275973e-05
NAIP,0.27256033,0.27265108,9.074807e-05
BACE2,0.26061928,0.26070917,8.9883804e-05
EVL,0.2496187,0.24970834,8.9645386e-05
GM2A,0.25909787,0.25918734,8.946657e-05
KLF6,0.14162141,0.14171033,8.891523e-05
MMP7,0.32342777,0.32351646,8.869171e-05
THBS1,0.28158906,0.28167772,8.866191e-05
SOCS1,0.2642563,0.2643434,8.711219e-05
L1CAM,0.23755248,0.23763956,8.7082386e-05
NNMT,0.27860844,0.27869442,8.59797e-05
NBL1,0.22918457,0.22926977,8.520484e-05
HIST1H4H,0.26712143,0.26720473,8.329749e-05
CD52,0.26962313,0.26970583,8.2701445e-05
HLA-DMB,0.27539384,0.2754764,8.255243e-05
GBP5,0.25884047,0.25892264,8.2165e-05
SPI1,0.42749554,0.42757702,8.147955e-05
IKZF1,0.29422098,0.29430208,8.109212e-05
