Gene,IG Score Before Training,IG Score After Training,Difference
TIMP1,0.6608995,0.66174096,0.00084143877
COL1A2,0.20068406,0.20143706,0.0007530004
COL6A2,0.4313057,0.4320159,0.00071018934
C3,0.42527354,0.42580557,0.00053203106
DCN,0.43535355,0.43585366,0.0005001128
C1R,0.41282275,0.41329458,0.00047183037
BGN,0.3409781,0.34141952,0.000441432
MX1,0.33795598,0.338394,0.00043800473
ACTB,0.6716514,0.6720892,0.00043779612
TIMP2,0.51558554,0.51599044,0.00040489435
COL6A3,0.41121373,0.41161758,0.00040385127
IFITM3,0.52012205,0.5205206,0.00039857626
C1S,0.35322803,0.35355473,0.00032669306
IFI44L,0.28888336,0.28920934,0.0003259778
COL6A1,0.29761732,0.2978973,0.00027999282
IFI44,0.2990398,0.29931343,0.00027361512
PARP14,0.35436216,0.35461423,0.00025206804
UCHL1,0.5609935,0.56123596,0.0002424717
HTRA1,0.30048975,0.30072838,0.0002386272
HIST1H1C,0.6057504,0.60595584,0.00020545721
FTL,0.26848438,0.26868844,0.0002040565
LGALS1,0.71029806,0.7105004,0.00020235777
MMP2,0.34286815,0.34306204,0.00019389391
AEBP1,0.34404606,0.3442303,0.00018423796
IGFBP4,0.326686,0.32686296,0.00017696619
DDX5,0.392006,0.39217618,0.00017017126
IFI16,0.3185594,0.31872833,0.00016891956
ISLR,0.27780277,0.27796888,0.00016611814
A2M,0.5439902,0.5441374,0.00014722347
C1QB,0.26997346,0.27011988,0.00014641881
CXCL10,0.24170023,0.24184571,0.00014548004
ISG15,0.789699,0.7898393,0.00014030933
TXNIP,0.22322984,0.22336899,0.00013914704
CCNE1,0.3013319,0.30146974,0.00013783574
TRIM22,0.29106385,0.29119807,0.00013422966
OAS2,0.2969828,0.2971136,0.0001308024
IFIT1,0.27061877,0.27074784,0.00012907386
IFIT3,0.25550663,0.2556357,0.00012907386
IGFBP3,0.28868,0.28880045,0.00012046099
CFB,0.45216975,0.45228678,0.00011703372
SAMHD1,0.25144595,0.25156218,0.00011622906
C7,0.26447484,0.26458845,0.00011360645
SPARCL1,0.23797253,0.23808546,0.0001129359
SPARC,0.9062073,0.9063187,0.00011140108
C1QC,0.20986807,0.20997798,0.000109910965
XAF1,0.27481344,0.27492255,0.0001091063
TAP1,0.22930181,0.2294106,0.00010879338
EIF4A1,0.47659886,0.4767052,0.000106334686
ENG,0.3074705,0.3075767,0.000106185675
MFAP2,0.2830744,0.2831802,0.000105798244
CDH11,0.27849135,0.2785958,0.00010445714
POP4,0.27673635,0.2768388,0.000102460384
STAT2,0.27652234,0.2766247,0.00010237098
DPYSL3,0.28270078,0.28280136,0.00010058284
TXNDC5,0.17751047,0.17760885,9.8377466e-05
COL5A1,0.29074606,0.29084295,9.688735e-05
C19orf12,0.3064521,0.3065467,9.459257e-05
APOL6,0.2541236,0.25421557,9.196997e-05
C1QA,0.28505045,0.28514192,9.146333e-05
ANTXR1,0.2841091,0.28419816,8.907914e-05
GBP1,0.20903729,0.2091246,8.73059e-05
CNN3,0.2309675,0.23105292,8.5413456e-05
ANXA5,0.45882845,0.45891362,8.517504e-05
JUNB,0.25650808,0.25659278,8.46982e-05
PSMB9,0.23011476,0.2301991,8.434057e-05
MGP,0.18598856,0.18607248,8.392334e-05
EMILIN1,0.28030637,0.2803901,8.3744526e-05
EPSTI1,0.2558672,0.25594857,8.136034e-05
CMPK2,0.26072288,0.26080376,8.08835e-05
CFH,0.27545917,0.2755388,7.9631805e-05
DDX58,0.26228747,0.26236558,7.811189e-05
CTNNB1,0.27011052,0.27018854,7.802248e-05
THY1,0.28067732,0.28075475,7.742643e-05
IFIT2,0.26766017,0.26773688,7.671118e-05
CTSS,0.66473275,0.6648092,7.647276e-05
CCL5,0.28039724,0.28047296,7.57277e-05
SP100,0.30554375,0.30561763,7.387996e-05
SAMD9,0.3262596,0.32633322,7.3611736e-05
