Gene,IG Score Before Training,IG Score After Training,Difference
FN1,0.48666874,0.49154794,0.0048792064
COL1A2,0.20068406,0.20465642,0.0039723665
RPL17,0.62237555,0.62311405,0.00073850155
RPS15A,0.19984658,0.19989738,5.079806e-05
TNFAIP2,0.26534852,0.26539537,4.684925e-05
MMP7,0.32342777,0.32346007,3.2305717e-05
HLA-B,0.24344835,0.24347472,2.6375055e-05
HLA-DRA,0.7089177,0.7089265,8.821487e-06
GPX3,0.28398603,0.2839933,7.2717667e-06
CFB,0.45216975,0.45217657,6.824732e-06
HLA-A,0.6349154,0.63492054,5.1259995e-06
COL1A1,0.99604625,0.99605054,4.2915344e-06
PSAP,0.9084497,0.908454,4.2915344e-06
ISG15,0.789699,0.78970176,2.7418137e-06
H19,0.27275112,0.2727537,2.5629997e-06
LTB,0.27551767,0.2755192,1.5199184e-06
SLPI,0.9487847,0.94878614,1.4305115e-06
SDC4,0.1635799,0.1635811,1.206994e-06
TYMP,0.3135761,0.3135772,1.1026859e-06
IGFBP4,0.326686,0.32668677,7.748604e-07
TMSB4X,0.017747883,0.017748622,7.394701e-07
HLA-DPA1,0.31330872,0.31330928,5.662441e-07
HLA-DRB1,0.3183365,0.318337,5.066395e-07
LAPTM5,0.26453406,0.26453453,4.7683716e-07
PSAT1,0.24413033,0.24413072,3.874302e-07
HDAC7,0.25792858,0.25792897,3.874302e-07
HLA-DRB5,0.2855088,0.28550917,3.5762787e-07
SERPINE1,0.27444473,0.2744451,3.5762787e-07
CD74,0.9922161,0.99221647,3.5762787e-07
YWHAB,0.24514098,0.24514133,3.427267e-07
MSN,0.24080399,0.24080431,3.2782555e-07
DEK,0.24972238,0.2497227,3.2782555e-07
ABCB7,0.24195534,0.24195564,2.9802322e-07
GNAI2,0.7758818,0.7758821,2.9802322e-07
PSEN1,0.24459481,0.2445951,2.8312206e-07
C1QA,0.28505045,0.28505072,2.682209e-07
PNISR,0.23278446,0.23278472,2.5331974e-07
DYNLL1,0.26482397,0.2648242,2.3841858e-07
TYK2,0.26888642,0.26888666,2.3841858e-07
VIM,0.97765666,0.9776569,2.3841858e-07
ARL6IP1,0.217357,0.21735722,2.2351742e-07
WDR83OS,0.19307378,0.193074,2.2351742e-07
MTRNR2L8,0.26990527,0.26990548,2.0861626e-07
MXI1,0.23122443,0.23122464,2.0861626e-07
ARID5A,0.26839304,0.26839325,2.0861626e-07
MAN1B1,0.25582728,0.2558275,2.0861626e-07
SLC25A29,0.25069383,0.25069404,2.0861626e-07
ARGLU1,0.47489458,0.4748948,2.0861626e-07
TLE1,0.25556818,0.2555684,2.0861626e-07
PRPF4B,0.21182592,0.21182612,1.937151e-07
TMCO1,0.21841542,0.21841562,1.937151e-07
IGSF8,0.2236906,0.2236908,1.937151e-07
FOS,0.10852811,0.108528286,1.7881393e-07
FAM193B,0.2795829,0.27958307,1.7881393e-07
SQSTM1,0.9117973,0.91179746,1.7881393e-07
COTL1,0.31773317,0.31773335,1.7881393e-07
ICAM1,0.254078,0.25407818,1.7881393e-07
REST,0.30165556,0.30165574,1.7881393e-07
LUC7L3,0.22681104,0.22681122,1.7881393e-07
MFGE8,0.31114167,0.31114185,1.7881393e-07
SLC1A5,0.22759674,0.22759692,1.7881393e-07
LBH,0.2563554,0.25635558,1.7881393e-07
HTRA1,0.30048975,0.30048993,1.7881393e-07
PA2G4,0.22861585,0.22861603,1.7881393e-07
VCP,0.25157908,0.25157925,1.7881393e-07
DDX39A,0.2619308,0.26193097,1.7881393e-07
CTSD,0.9527676,0.9527678,1.7881393e-07
B4GALT1,0.24774681,0.24774699,1.7881393e-07
NET1,0.31689394,0.3168941,1.7881393e-07
ZKSCAN1,0.24473245,0.24473262,1.6391277e-07
MCM7,0.24028933,0.2402895,1.6391277e-07
MEA1,0.23010851,0.23010868,1.6391277e-07
NAA10,0.23773547,0.23773563,1.6391277e-07
NHP2,0.2285156,0.22851576,1.6391277e-07
NOLC1,0.25819084,0.258191,1.4901161e-07
VAT1,0.23050855,0.2305087,1.4901161e-07
DDX39B,0.23594168,0.23594183,1.4901161e-07
NFKBIA,0.14600861,0.14600876,1.4901161e-07
IL4I1,0.27006823,0.27006838,1.4901161e-07
CDK16,0.3003553,0.30035543,1.4901161e-07
ERGIC1,0.26912686,0.269127,1.4901161e-07
TMEM259,0.19848132,0.19848147,1.4901161e-07
POLR2H,0.2555002,0.25550035,1.4901161e-07
NBL1,0.22918457,0.22918472,1.4901161e-07
ACTR3,0.24067898,0.24067913,1.4901161e-07
MLLT1,0.26018932,0.26018947,1.4901161e-07
BUD31,0.21808776,0.2180879,1.3411045e-07
IL32,0.08668334,0.086683474,1.3411045e-07
PAPOLA,0.2195756,0.21957573,1.3411045e-07
EWSR1,0.22529933,0.22529946,1.3411045e-07
HMGN3,0.22938646,0.2293866,1.3411045e-07
EIF4EBP2,0.1585368,0.15853694,1.3411045e-07
KHDRBS1,0.24502353,0.24502365,1.1920929e-07
ABCF2,0.25840616,0.25840628,1.1920929e-07
SLC39A1,0.2689314,0.2689315,1.1920929e-07
TYROBP,0.26663363,0.26663375,1.1920929e-07
ACY1,0.23596832,0.23596844,1.1920929e-07
LOX,0.26735112,0.26735124,1.1920929e-07
GIGYF1,0.262462,0.2624621,1.1920929e-07
NFIX,0.2563166,0.25631672,1.1920929e-07
CSNK2A1,0.25076717,0.2507673,1.1920929e-07
NCOR2,0.23952234,0.23952246,1.1920929e-07
ZYX,0.28764945,0.28764957,1.1920929e-07
GRINA,0.23811027,0.2381104,1.1920929e-07
TMEM238,0.19224527,0.1922454,1.1920929e-07
TECR,0.26830304,0.26830316,1.1920929e-07
AHNAK2,0.2720888,0.27208892,1.1920929e-07
AKIRIN2,0.22754511,0.22754523,1.1920929e-07
HLA-DQB1,0.27361932,0.27361944,1.1920929e-07
FOXQ1,0.22350758,0.2235077,1.1920929e-07
THBS1,0.28158906,0.28158918,1.1920929e-07
KAZN,0.26890615,0.26890627,1.1920929e-07
TAF3,0.2698251,0.26982522,1.1920929e-07
BHLHE40,0.25620386,0.25620398,1.1920929e-07
RPS14,0.61910474,0.61910486,1.1920929e-07
DCAF8,0.2183936,0.21839371,1.1920929e-07
TBL2,0.24331546,0.24331558,1.1920929e-07
PFKFB3,0.2646297,0.2646298,1.1920929e-07
IFT172,0.25683737,0.2568375,1.1920929e-07
HSP90AA1,0.98627394,0.98627406,1.1920929e-07
MAU2,0.2622589,0.262259,1.1920929e-07
VOPP1,0.24060667,0.24060677,1.0430813e-07
CKAP5,0.23995309,0.23995319,1.0430813e-07
ANP32B,0.23856224,0.23856235,1.0430813e-07
PRKDC,0.17859808,0.17859818,1.0430813e-07
TALDO1,0.22222877,0.22222887,1.0430813e-07
NUPR1,0.09790597,0.097906075,1.0430813e-07
TXNL4A,0.18784803,0.18784814,1.0430813e-07
ZNF384,0.24759285,0.24759296,1.0430813e-07
MGP,0.18598856,0.18598866,1.0430813e-07
TMEM230,0.23648252,0.23648262,1.0430813e-07
RAB18,0.20577441,0.20577452,1.0430813e-07
PTPRJ,0.23606211,0.2360622,8.940697e-08
AK3,0.27020502,0.2702051,8.940697e-08
PDIA3,0.13705912,0.13705921,8.940697e-08
IFNGR1,0.26640013,0.26640022,8.940697e-08
SAMHD1,0.25144595,0.25144604,8.940697e-08
BLCAP,0.24342589,0.24342598,8.940697e-08
ROBO3,0.27036738,0.27036747,8.940697e-08
TSPAN9,0.26081255,0.26081264,8.940697e-08
TPM1,0.21500888,0.21500897,8.940697e-08
HOMER2,0.20659414,0.20659423,8.940697e-08
MIB2,0.25942424,0.25942433,8.940697e-08
ADAM17,0.25573552,0.2557356,8.940697e-08
ITGA5,0.26087034,0.26087043,8.940697e-08
PREPL,0.17933008,0.17933017,8.940697e-08
TMEM160,0.2579513,0.25795138,8.940697e-08
FUT11,0.2636332,0.26363328,8.940697e-08
UGCG,0.2494969,0.249497,8.940697e-08
SMC2,0.24126968,0.24126977,8.940697e-08
FBXO32,0.2628373,0.26283738,8.940697e-08
P4HA1,0.21372633,0.21372642,8.940697e-08
MBD3,0.2508975,0.2508976,8.940697e-08
SNRPD1,0.26734138,0.26734146,8.940697e-08
TMEM258,0.25519297,0.25519305,8.940697e-08
CRISPLD2,0.29336995,0.29337004,8.940697e-08
HIF1A,0.26722196,0.26722205,8.940697e-08
STIP1,0.2709092,0.27090928,8.940697e-08
IFI16,0.3185594,0.3185595,8.940697e-08
NIN,0.24052277,0.24052286,8.940697e-08
CPSF7,0.21939462,0.21939471,8.940697e-08
GNB2,0.21357557,0.21357566,8.940697e-08
MYH10,0.2431339,0.24313399,8.940697e-08
TPR,0.25821608,0.25821617,8.940697e-08
P3H4,0.25800055,0.25800064,8.940697e-08
BRCC3,0.25016764,0.25016773,8.940697e-08
TMEM158,0.27081504,0.27081513,8.940697e-08
CNIH1,0.24906448,0.24906456,8.940697e-08
D2HGDH,0.2644491,0.26444918,8.940697e-08
SH3YL1,0.22372498,0.22372507,8.940697e-08
GNPAT,0.24627143,0.24627152,8.940697e-08
MAPK8,0.25421453,0.2542146,8.940697e-08
TGIF2,0.26495612,0.2649562,8.940697e-08
WARS,0.21810369,0.21810378,8.940697e-08
AKR1A1,0.23514028,0.23514037,8.940697e-08
PABPC3,0.26892048,0.26892057,8.940697e-08
ACSL3,0.2559263,0.2559264,8.940697e-08
MYCL,0.26790124,0.26790133,8.940697e-08
SYNPO,0.27644536,0.27644545,8.940697e-08
MYCBP2,0.2569879,0.256988,8.940697e-08
CAPN15,0.25316513,0.25316522,8.940697e-08
MPG,0.25179008,0.25179017,8.940697e-08
SMIM12,0.25218788,0.25218797,8.940697e-08
CRIM1,0.25474098,0.25474107,8.940697e-08
TMBIM1,0.2675191,0.26751918,8.940697e-08
CNN3,0.2309675,0.2309676,8.940697e-08
SMU1,0.24588887,0.24588896,8.940697e-08
TMCO4,0.26652724,0.26652732,8.940697e-08
MPZL1,0.24583243,0.24583252,8.940697e-08
PCGF1,0.25634542,0.2563455,8.940697e-08
ENO2,0.09058039,0.09058047,8.195639e-08
YWHAH,0.23829624,0.23829632,7.4505806e-08
MARCKS,0.14150952,0.14150959,7.4505806e-08
CISD1,0.2256758,0.22567588,7.4505806e-08
WDR45B,0.15080723,0.1508073,7.4505806e-08
SLC52A2,0.23567554,0.23567562,7.4505806e-08
GRB2,0.23386966,0.23386973,7.4505806e-08
AKAP8L,0.2324738,0.23247388,7.4505806e-08
RAB22A,0.2335402,0.23354028,7.4505806e-08
FBXL15,0.24274743,0.2427475,7.4505806e-08
ARIH2,0.20196962,0.2019697,7.4505806e-08
TSNAX,0.22908968,0.22908975,7.4505806e-08
ZNF428,0.23086649,0.23086657,7.4505806e-08
NUP85,0.22724834,0.22724842,7.4505806e-08
CHD9,0.22342184,0.22342192,7.4505806e-08
EPS15L1,0.2356384,0.23563847,7.4505806e-08
DNPH1,0.22769564,0.22769572,7.4505806e-08
DCTN4,0.2279523,0.22795238,7.4505806e-08
H2AFZ,0.23051561,0.23051569,7.4505806e-08
