Gene,IG Score Before Training,IG Score After Training,Difference
MSMB,0.35573032,0.3577836,0.0020532608
IFITM3,0.52012205,0.52099586,0.0008738041
CFB,0.45216975,0.45290038,0.00073063374
XBP1,0.56940067,0.5700949,0.0006942153
HLA-DRA,0.7089177,0.7095826,0.0006649494
TGM2,0.30939066,0.3100509,0.00066024065
C1R,0.41282275,0.41345212,0.00062936544
TIMP1,0.6608995,0.661408,0.0005084872
S100A6,0.5874915,0.58796734,0.00047582388
TNFSF10,0.43646693,0.4369153,0.00044837594
HLA-E,0.3488634,0.3492708,0.00040739775
MMP7,0.32342777,0.32383156,0.00040379167
TPM2,0.4789158,0.47931945,0.00040364265
BGN,0.3409781,0.34137484,0.00039675832
MT1E,0.2928068,0.2931838,0.00037699938
A2M,0.5439902,0.54434556,0.0003553629
FLNA,0.67665005,0.676986,0.00033593178
HLA-DPB1,0.32012174,0.32043713,0.00031539798
CRISPLD1,0.27197006,0.27227178,0.0003017187
OLFM4,0.4488893,0.44918412,0.00029483438
CEBPD,0.19736798,0.19765638,0.00028839707
MT1G,0.26247814,0.2627501,0.0002719462
IFITM2,0.3019995,0.3022677,0.0002681911
C1S,0.35322803,0.35349298,0.00026494265
HLA-DPA1,0.31330872,0.3135632,0.00025448203
HLA-A,0.6349154,0.63516706,0.0002516508
ST6GAL1,0.2924989,0.2927476,0.00024870038
PTGDS,0.20782536,0.2080712,0.00024583936
AEBP1,0.34404606,0.34427595,0.00022989511
TSPAN7,0.22559404,0.22581711,0.00022307038
GSN,0.2901528,0.29037163,0.00021883845
DCN,0.43535355,0.43556666,0.00021311641
SAA2,0.2751374,0.275348,0.00021061301
FBLN1,0.3195676,0.3197762,0.00020861626
ACTG2,0.6935906,0.69379056,0.00019997358
MGP,0.18598856,0.18618163,0.00019307435
FN1,0.48666874,0.48685336,0.00018462539
ANXA5,0.45882845,0.4590092,0.00018075109
COL6A3,0.41121373,0.41138843,0.00017470121
TSC22D3,0.26051643,0.26069015,0.00017371774
DDIT4,0.5838055,0.5839777,0.00017219782
BACE2,0.26061928,0.26078698,0.00016769767
C1QB,0.26997346,0.2701303,0.00015684962
AZGP1,0.20157781,0.20173399,0.00015617907
MT1X,0.23903582,0.2391912,0.00015538931
LTBP4,0.32017514,0.32032725,0.00015211105
ZFP36L2,0.1899023,0.19005397,0.00015166402
C3,0.42527354,0.42542067,0.00014713407
SLC26A4,0.27016214,0.27029932,0.00013718009
ODC1,0.37755004,0.37768716,0.00013712049
WFDC2,0.67796016,0.6780947,0.00013452768
RHOB,0.2045267,0.20466043,0.00013373792
TAGLN2,0.2991907,0.2993222,0.00013148785
HLA-DMA,0.27737737,0.2775048,0.00012743473
SERPING1,0.27910003,0.27922696,0.00012692809
COL1A2,0.20068406,0.20080896,0.00012490153
MYLK,0.3559777,0.35610086,0.0001231432
LAPTM5,0.26453406,0.26465535,0.00012129545
SAA1,0.2700109,0.27012938,0.000118494034
ABHD2,0.2945966,0.2947141,0.000117480755
COTL1,0.31773317,0.31784916,0.00011599064
TRIM22,0.29106385,0.2911797,0.00011584163
TMC5,0.26847377,0.2685849,0.00011113286
MFAP4,0.27454397,0.27465472,0.00011074543
NNMT,0.27860844,0.278718,0.00010955334
SOD3,0.24953535,0.24964297,0.000107616186
LTF,0.938339,0.93844384,0.00010484457
IGFBP4,0.326686,0.32678932,0.00010332465
ASRGL1,0.261182,0.26128525,0.000103235245
MZB1,0.27086264,0.27096456,0.00010192394
TIMP3,0.29034236,0.29044396,0.00010159612
KRT5,0.40277094,0.40287104,0.000100106
LSP1,0.2916919,0.29179192,0.000100016594
SERPINF1,0.28314564,0.2832456,9.995699e-05
CTSS,0.66473275,0.6648324,9.9658966e-05
DES,0.19823572,0.19833396,9.8243356e-05
SCUBE2,0.2716744,0.27177244,9.804964e-05
MXRA7,0.32890478,0.3290027,9.793043e-05
CXCR4,0.26333648,0.26343378,9.730458e-05
LGALS3BP,0.19785522,0.19795147,9.62466e-05
LGALS1,0.71029806,0.710394,9.596348e-05
WDR1,0.27829307,0.27838835,9.5278025e-05
MYH9,0.25454342,0.2546372,9.378791e-05
CNN1,0.3026625,0.30275613,9.36389e-05
THBS4,0.2706763,0.2707673,9.098649e-05
S100A9,0.49545056,0.49554047,8.991361e-05
HLA-F,0.27300888,0.27309433,8.544326e-05
ARHGDIB,0.2491551,0.24924032,8.521974e-05
CYBA,0.24438588,0.24447006,8.417666e-05
IFI30,0.338232,0.33831614,8.4131956e-05
DST,0.26059273,0.2606755,8.276105e-05
VOPP1,0.24060667,0.240688,8.133054e-05
BIRC3,0.25482664,0.2549075,8.08537e-05
LUM,0.2845147,0.2845953,8.061528e-05
ITM2B,0.72752464,0.7276034,7.8737736e-05
POSTN,0.29091507,0.29099345,7.838011e-05
SLFN5,0.33590075,0.33597857,7.7813864e-05
PTPRC,0.2728947,0.272971,7.6293945e-05
CLU,0.82366127,0.8237373,7.605553e-05
CP,0.2956482,0.2957238,7.560849e-05
C7,0.26447484,0.26455018,7.534027e-05
PLTP,0.25573006,0.2558051,7.504225e-05
UBD,0.29812452,0.29819912,7.459521e-05
COL4A1,0.37858066,0.3786552,7.453561e-05
MFGE8,0.31114167,0.31121558,7.390976e-05
TNS1,0.29880026,0.29887328,7.301569e-05
EMILIN1,0.28030637,0.28037915,7.277727e-05
ARPC1B,0.26107213,0.26114455,7.241964e-05
LITAF,0.4880689,0.48814008,7.1167946e-05
TGFBI,0.22362165,0.22369245,7.079542e-05
WIPF1,0.32528412,0.32535464,7.0512295e-05
TYROBP,0.26663363,0.26670414,7.0512295e-05
ENG,0.3074705,0.30754054,7.003546e-05
COL16A1,0.28441116,0.28448063,6.946921e-05
APOD,0.24343117,0.24349989,6.8724155e-05
C1QC,0.20986807,0.20993677,6.869435e-05
CRISPLD2,0.29336995,0.2934384,6.8455935e-05
SYNPO2,0.26773396,0.26780152,6.7561865e-05
SH3BGRL,0.25059068,0.250658,6.7323446e-05
SLC40A1,0.19836795,0.1984344,6.644428e-05
PLSCR1,0.22382852,0.22389454,6.6012144e-05
RUNX1,0.2690249,0.2690909,6.598234e-05
GLUL,0.15440476,0.15446992,6.516278e-05
IRF9,0.30363914,0.3037039,6.476045e-05
ZYX,0.28764945,0.28771368,6.4224005e-05
WARS,0.21810369,0.2181679,6.42091e-05
TAP1,0.22930181,0.2293655,6.368756e-05
PDZK1IP1,0.18474434,0.18480678,6.2435865e-05
AIF1,0.39326638,0.39332864,6.225705e-05
ZFP36L1,0.23520571,0.23526756,6.185472e-05
IGFBP3,0.28868,0.28874114,6.1154366e-05
CLIC4,0.2661504,0.26621076,6.0379505e-05
NFKB2,0.2599082,0.2599684,6.020069e-05
RNASE1,0.45238867,0.4524476,5.891919e-05
LAMB2,0.28350475,0.2835636,5.8859587e-05
ITGB2,0.26900062,0.26905936,5.8740377e-05
GABARAPL1,0.27726895,0.27732754,5.8591366e-05
CCL19,0.27084708,0.27090546,5.838275e-05
SYNM,0.27903673,0.27909493,5.8203936e-05
APOL1,0.28001618,0.2800744,5.8203936e-05
PPP1R1B,0.21295017,0.21300723,5.7056546e-05
ID1,0.14709485,0.14715096,5.6117773e-05
PDLIM3,0.27414453,0.2742003,5.5760145e-05
TPM1,0.21500888,0.21506435,5.5462122e-05
CIITA,0.26850227,0.26855746,5.51939e-05
TNC,0.6312208,0.6312755,5.465746e-05
ATP11A,0.2818814,0.28193578,5.438924e-05
PDGFRB,0.2799832,0.2800374,5.4210424e-05
GBP2,0.23611136,0.23616526,5.38975e-05
HERPUD1,0.24684466,0.24689846,5.3793192e-05
CD79A,0.26968205,0.26973575,5.3703785e-05
IL7R,0.27403966,0.27409315,5.349517e-05
SOX9,0.23745973,0.2375129,5.3167343e-05
ACTN1,0.1874578,0.18751045,5.2645802e-05
SNX3,0.2317534,0.23180583,5.2437186e-05
THBS1,0.28158906,0.28164148,5.2422285e-05
VWA1,0.25841698,0.2584692,5.221367e-05
MT1F,0.2541263,0.2541785,5.2183867e-05
STAT3,0.17155404,0.171606,5.196035e-05
ANKH,0.18707363,0.18712512,5.1483512e-05
NBL1,0.22918457,0.22923575,5.118549e-05
PRR16,0.26960477,0.26965594,5.1170588e-05
TMEM178A,0.2491159,0.24916707,5.1170588e-05
TRIM29,0.29931343,0.29936382,5.0395727e-05
S100A4,0.36214313,0.36219347,5.0336123e-05
CTSC,0.2907455,0.2907954,4.9889088e-05
LTB,0.27551767,0.27556732,4.965067e-05
ACTA2,0.91613954,0.9161892,4.965067e-05
RARRES2,0.2735261,0.27357563,4.953146e-05
ARPC2,0.24580947,0.2458588,4.9337745e-05
MPEG1,0.2712735,0.2713226,4.9114227e-05
APOL6,0.2541236,0.2541727,4.9114227e-05
HLA-DMB,0.27539384,0.2754427,4.8846006e-05
LDLRAD4,0.268483,0.2685314,4.839897e-05
TAPBP,0.2312202,0.23126794,4.774332e-05
ANXA6,0.23564412,0.23569173,4.760921e-05
CDH11,0.27849135,0.27853888,4.7534704e-05
NAMPT,0.14844215,0.14848955,4.7400594e-05
CYP1B1,0.27471355,0.27476087,4.7326088e-05
TCIRG1,0.2850315,0.28507876,4.7266483e-05
PGC,0.26973546,0.26978263,4.7177076e-05
UBE2L6,0.23610263,0.23614973,4.710257e-05
TLN1,0.2616375,0.26168406,4.6551228e-05
PEA15,0.18653296,0.18657908,4.6119094e-05
PSMB10,0.22893228,0.22897807,4.579127e-05
NDRG2,0.2227503,0.2227961,4.579127e-05
PNRC1,0.19331428,0.19336008,4.579127e-05
KRT7,0.33026794,0.3303137,4.5776367e-05
IFI16,0.3185594,0.31860504,4.5627356e-05
ID3,0.27578935,0.27583477,4.541874e-05
ITPR2,0.28187156,0.28191698,4.541874e-05
GGT5,0.2730353,0.27308068,4.5388937e-05
FAM3D,0.1924239,0.19246906,4.516542e-05
LCP1,0.23539045,0.23543525,4.479289e-05
COL18A1,0.36062154,0.36066616,4.4614077e-05
IRF1,0.22878827,0.22883256,4.428625e-05
CRIM1,0.25474098,0.2547852,4.4226646e-05
LIMD2,0.3261642,0.32620785,4.3660402e-05
PSMB8,0.19712205,0.19716552,4.3466687e-05
CFLAR,0.24736074,0.24740401,4.3272972e-05
LRP1,0.3012506,0.30129382,4.3213367e-05
RAC2,0.26595393,0.26599693,4.300475e-05
PSMB9,0.23011476,0.23015721,4.245341e-05
MRC2,0.27800754,0.27804947,4.1931868e-05
ADGRA2,0.2725473,0.27258924,4.1931868e-05
DPYSL3,0.28270078,0.28274238,4.1604042e-05
SHC1,0.26605523,0.26609647,4.1246414e-05
IL6ST,0.29818588,0.2982263,4.041195e-05
CD14,0.26575005,0.2657904,4.0352345e-05
B4GALT1,0.24774681,0.24778715,4.0337443e-05
CD3D,0.26674372,0.26678383,4.0113926e-05
OLFML3,0.27210918,0.2721493,4.0113926e-05
ISG20,0.2514534,0.25149348,4.0084124e-05
PRDM1,0.25512367,0.25516367,3.9994717e-05
ACSL5,0.16926655,0.16930649,3.9935112e-05
EPAS1,0.28400755,0.2840472,3.963709e-05
RBPMS,0.26771817,0.2677578,3.963709e-05
MSN,0.24080399,0.24084355,3.9562583e-05
PALLD,0.18689743,0.1869369,3.9473176e-05
NFKBIA,0.14600861,0.14604798,3.9368868e-05
PI15,0.27034414,0.27038312,3.8981438e-05
SULT1C4,0.27034187,0.2703805,3.862381e-05
SULF1,0.28988072,0.28991905,3.8325787e-05
IKZF1,0.29422098,0.29425895,3.796816e-05
MAP1B,0.20962399,0.20966169,3.7699938e-05
SOCS2,0.26907334,0.26911104,3.7699938e-05
CYBB,0.26012892,0.2601659,3.6984682e-05
ARRDC3,0.25664076,0.25667775,3.6984682e-05
MS4A6A,0.26721898,0.26725566,3.668666e-05
EFHD2,0.37952927,0.37956595,3.668666e-05
CD37,0.2704965,0.27053308,3.6597252e-05
POU2AF1,0.26966408,0.26970017,3.6090612e-05
MYOF,0.24682377,0.24685957,3.579259e-05
PRRX1,0.27593392,0.27596965,3.5732985e-05
AXL,0.27128288,0.27131853,3.5643578e-05
TRIM2,0.24615031,0.24618584,3.552437e-05
PCP4,0.22946668,0.22950217,3.5494566e-05
CMTM3,0.2666731,0.26670855,3.5464764e-05
CALD1,0.11625926,0.116294645,3.5382807e-05
UACA,0.27808866,0.27812392,3.5256147e-05
AKNA,0.27070025,0.2707354,3.516674e-05
PCOLCE,0.27723378,0.27726883,3.504753e-05
PIK3IP1,0.25861973,0.25865436,3.46303e-05
DHRS3,0.2680537,0.26808828,3.4570694e-05
AHNAK,0.42537346,0.42540804,3.4570694e-05
MATN2,0.27216193,0.2721964,3.4481287e-05
ITGA4,0.26705113,0.26708555,3.4421682e-05
KLF9,0.22177826,0.22181259,3.4332275e-05
PLXDC2,0.27557218,0.27560645,3.427267e-05
TRIM38,0.26065072,0.26068488,3.415346e-05
CORO1A,0.28335562,0.2833897,3.4064054e-05
TNFAIP2,0.26534852,0.26538253,3.400445e-05
LRP10,0.21995194,0.21998549,3.3542514e-05
RARRES1,0.26852924,0.2685627,3.3468008e-05
TYMP,0.3135761,0.31360927,3.3169985e-05
GJA1,0.29339233,0.29342544,3.311038e-05
CD52,0.26962313,0.26965618,3.3050776e-05
STOM,0.28753972,0.28757268,3.296137e-05
ENTPD1,0.27481663,0.27484953,3.2901764e-05
TFCP2L1,0.2237916,0.22382437,3.2767653e-05
COL6A2,0.4313057,0.43133846,3.2752752e-05
KCNN4,0.27008697,0.2701197,3.272295e-05
SPI1,0.42749554,0.4275282,3.2663345e-05
MAF,0.2762257,0.27625835,3.2663345e-05
SHB,0.25642854,0.25646108,3.2544136e-05
CD163,0.27572066,0.2757532,3.2544136e-05
CSF1R,0.25805345,0.25808582,3.2365322e-05
CEACAM1,0.20651911,0.20655142,3.2305717e-05
PPP2R5C,0.22175375,0.22178604,3.2290816e-05
IFITM1,0.27674258,0.27677464,3.20673e-05
CLDN1,0.25971556,0.2597476,3.2037497e-05
SEMA4B,0.25086498,0.25089702,3.2037497e-05
TNS4,0.29992032,0.29995227,3.194809e-05
ANXA2,0.84027565,0.84030753,3.1888485e-05
SPARC,0.9062073,0.9062389,3.159046e-05
ATP2A2,0.21285862,0.21289021,3.159046e-05
HSD17B4,0.2236098,0.22364132,3.1515956e-05
SCNN1A,0.27785155,0.27788302,3.1471252e-05
PECAM1,0.30473655,0.30476794,3.1381845e-05
YPEL3,0.23753534,0.23756601,3.066659e-05
LRPAP1,0.24407126,0.24410182,3.056228e-05
COL15A1,0.2751714,0.2752018,3.0398369e-05
TIMP2,0.51558554,0.5156159,3.0338764e-05
CCDC69,0.27097672,0.27100703,3.0308962e-05
