Gene,IG Score Before Training,IG Score After Training,Difference
ACTB,0.6716514,0.8890497,0.21739829
UBC,0.78584635,0.94543356,0.1595872
OLFM4,0.4488893,0.51250464,0.06361535
XBP1,0.56940067,0.6067712,0.037370503
ACPP,0.44708607,0.47873652,0.031650454
MMP7,0.32342777,0.3412154,0.017787635
FTL,0.26848438,0.28219563,0.013711244
ITM2B,0.72752464,0.7329645,0.0054398775
KRT5,0.40277094,0.40786707,0.0050961375
TPM2,0.4789158,0.48324436,0.004328549
S100A6,0.5874915,0.5901671,0.002675593
AZGP1,0.20157781,0.20423281,0.0026549995
EEF2,0.08297914,0.08467906,0.001699917
KRT15,0.04842829,0.05005582,0.0016275309
IFITM3,0.52012205,0.5216229,0.001500845
TMSB4X,0.017747883,0.01917928,0.0014313981
A2M,0.5439902,0.54523206,0.0012418628
NR4A1,0.12763739,0.12873028,0.0010928959
COL1A2,0.20068406,0.20156603,0.0008819699
PFN1,0.27494338,0.27556437,0.000620991
LTF,0.938339,0.93887943,0.0005404353
FOSB,0.28092116,0.28140536,0.00048419833
HLA-DRA,0.7089177,0.7093922,0.00047451258
TGM2,0.30939066,0.30985308,0.00046241283
EGR1,0.12736246,0.12781091,0.00044845045
KRT13,0.36961538,0.3700615,0.00044611096
KRT7,0.33026794,0.33070296,0.0004350245
DDX5,0.392006,0.39239097,0.0003849566
ZFP36L1,0.23520571,0.23555486,0.0003491491
FBLN1,0.3195676,0.31989715,0.00032955408
TPM1,0.21500888,0.21528196,0.00027307868
WFDC2,0.67796016,0.6782321,0.0002719164
MYH9,0.25454342,0.25476938,0.00022596121
C1R,0.41282275,0.4130244,0.00020164251
CD81,0.337223,0.3374155,0.0001924932
DDX17,0.18746464,0.18763548,0.00017084181
CLDN4,0.09655917,0.096725814,0.00016664714
TACSTD2,0.31130713,0.31147122,0.00016409159
MGP,0.18598856,0.18613479,0.0001462251
HLA-E,0.3488634,0.34899873,0.00013533235
HLA-A,0.6349154,0.6350464,0.00013101101
NFIB,0.27565536,0.27578628,0.0001309216
UBD,0.29812452,0.29825056,0.00012603402
NPC2,0.24315412,0.24327578,0.00012165308
IGFBP3,0.28868,0.2887967,0.000116705894
LTBP4,0.32017514,0.32028946,0.00011432171
GNAS,0.288832,0.28893098,9.897351e-05
CEBPD,0.19736798,0.1974669,9.891391e-05
THBS1,0.28158906,0.2816813,9.223819e-05
OAZ1,0.7024669,0.7025491,8.2194805e-05
SQSTM1,0.9117973,0.91187567,7.838011e-05
TMBIM6,0.59462774,0.59470594,7.8201294e-05
SPARC,0.9062073,0.90628505,7.772446e-05
PTMS,0.17878301,0.17885806,7.504225e-05
EIF4G2,0.28194124,0.28200594,6.470084e-05
C3,0.42527354,0.4253379,6.4373016e-05
CFB,0.45216975,0.45222875,5.90086e-05
IFI6,0.23488617,0.23494132,5.5149198e-05
TRIM29,0.29931343,0.29936826,5.4836273e-05
IFITM2,0.3019995,0.30205342,5.39124e-05
NEFH,0.33756042,0.33761317,5.275011e-05
CD99,0.29356673,0.29361835,5.1617622e-05
HLA-DPB1,0.32012174,0.32017195,5.0216913e-05
DHRS3,0.2680537,0.2681027,4.8995018e-05
