Gene,IG Score Before Training,IG Score After Training,Difference
MALAT1,0.12372025,0.23352231,0.10980206
RPL41,0.5319086,0.5525683,0.020659745
SLC39A6,0.4711581,0.4776624,0.006504327
RPS27,0.30479276,0.31054124,0.0057484806
FTL,0.26848438,0.27381593,0.005331546
GATA3,0.8049598,0.8100208,0.0050610304
GALNT6,0.614051,0.6177663,0.0037153363
PBX1,0.83786297,0.8408661,0.0030031204
TCEAL4,0.6785955,0.6814284,0.0028328896
RPL32,0.3483635,0.35093033,0.0025668442
NUCKS1,0.3138837,0.31638366,0.0024999678
HLA-DRA,0.7089177,0.71137756,0.0024598837
TMEM150C,0.32549334,0.3274439,0.001950562
TNFSF10,0.43646693,0.43828443,0.0018174946
RPS18,0.23784752,0.23944071,0.0015931875
CCND1,0.7565686,0.7579776,0.0014089942
EEF1A1,0.43853337,0.43991053,0.0013771653
RPL13A,0.64274716,0.64379317,0.0010460019
BAMBI,0.38686377,0.3878854,0.0010216236
TRPS1,0.31215596,0.31300145,0.0008454919
APOC1,0.37657693,0.37732366,0.000746727
GFRA1,0.29849246,0.29921156,0.00071910024
RPLP2,0.47611254,0.47683054,0.00071799755
RPLP0,0.44976598,0.45043635,0.00067037344
CST3,0.23784406,0.23849696,0.0006528944
CXCL14,0.90701646,0.9076368,0.00062036514
RPL15,0.4375331,0.4380727,0.00053960085
RPL29,0.31608865,0.3166187,0.0005300641
RPS17,0.3046956,0.3052256,0.0005300045
C3,0.42527354,0.4258024,0.000528872
PRRC2C,0.22201525,0.22252393,0.00050868094
PTMS,0.17878301,0.17926621,0.00048319995
RPL35,0.33926666,0.3397441,0.0004774332
PSAP,0.9084497,0.9089115,0.0004618168
RPS2,0.26617277,0.26661405,0.000441283
MORF4L2,0.30275553,0.30318034,0.0004248023
HMGB1,0.3082675,0.30868536,0.00041785836
RPL28,0.32020408,0.3206083,0.0004042089
RPS11,0.54239464,0.5427712,0.00037658215
GOLGA4,0.2836485,0.2840201,0.00037160516
POTEC,0.27281687,0.27318373,0.0003668666
RPSA,0.46227965,0.4626449,0.00036525726
RPL21,0.3606925,0.36104903,0.00035652518
C1QA,0.28505045,0.28537613,0.00032567978
RPL4,0.3168849,0.31718665,0.0003017485
HLA-E,0.3488634,0.3491612,0.0002978146
RPS14,0.61910474,0.61940044,0.00029569864
RPL12,0.20829964,0.2085902,0.00029055774
RPL39,0.1939861,0.19426559,0.00027948618
MUC5B,0.23801726,0.23829009,0.00027282536
HLA-DPB1,0.32012174,0.32038966,0.00026792288
CRIP1,0.92607546,0.92633265,0.00025719404
ADORA2A,0.26919448,0.2694331,0.0002386272
RPL13,0.97232425,0.97254974,0.00022548437
PTMA,0.92197645,0.92219687,0.00022041798
ANKRD12,0.24500296,0.24522322,0.00022026896
TCEAL3,0.24800144,0.24820873,0.00020729005
AGR3,0.28361714,0.2838208,0.00020366907
CRIP2,0.29144135,0.29164475,0.00020340085
RPL14,0.3367867,0.33698136,0.00019466877
LUC7L3,0.22681104,0.22699767,0.00018663704
C1QB,0.26997346,0.27015936,0.00018590689
GRB2,0.23386966,0.23404743,0.00017777085
HLA-DPA1,0.31330872,0.3134843,0.00017559528
TOP2A,0.31797263,0.3181344,0.000161767
MTDH,0.24411416,0.24427456,0.0001603961
GPNMB,0.7241017,0.7242517,0.00014996529
COLEC12,0.27450895,0.27465802,0.00014907122
RACK1,0.534132,0.534279,0.00014698505
REPS2,0.25763133,0.25777632,0.0001449883
ERBB3,0.23519345,0.23533377,0.00014032423
ATRX,0.21422087,0.21435301,0.0001321435
ENO1,0.6200437,0.62017274,0.00012904406
ESR1,0.2948815,0.29501045,0.00012895465
SLC2A4RG,0.22622858,0.22635685,0.0001282692
CTSD,0.9527676,0.95288754,0.000119924545
PCBP2,0.33147883,0.3315979,0.00011906028
CCDC80,0.29953355,0.29964846,0.000114917755
RBBP7,0.24515839,0.24527067,0.00011228025
DEGS1,0.22658536,0.22669458,0.00010922551
DNAJC1,0.220648,0.22075722,0.00010921061
RPL8,0.08924259,0.08935136,0.000108771026
DSG2,0.48679006,0.48689666,0.00010660291
DCN,0.43535355,0.43545976,0.00010621548
IGFBP5,0.992187,0.99229187,0.00010484457
HLA-DRB5,0.2855088,0.2856134,0.00010457635
NAP1L1,0.2773138,0.27741727,0.00010347366
RPLP1,0.029977445,0.030080855,0.00010341033
FCGRT,0.19497864,0.19508131,0.000102669
ATP2A3,0.2562683,0.25636965,0.0001013577
ING1,0.2715634,0.27166444,0.00010102987
KIF5B,0.5380655,0.5381653,9.9778175e-05
PVALB,0.27690154,0.27700117,9.9629164e-05
IL6ST,0.29818588,0.29828507,9.918213e-05
DEK,0.24972238,0.24982138,9.9003315e-05
LDLRAD4,0.268483,0.26858056,9.7543e-05
RPS8,0.13381793,0.13391392,9.599328e-05
SCAF11,0.24799536,0.24809025,9.4890594e-05
GATA3-AS1,0.2745735,0.27466395,9.045005e-05
VCAN,0.42466268,0.4247517,8.901954e-05
AEBP1,0.34404606,0.34413457,8.85129e-05
PNISR,0.23278446,0.23286985,8.5383654e-05
NORAD,0.26433262,0.26441792,8.529425e-05
EXOC2,0.24958365,0.24966854,8.4891915e-05
CENPF,0.28058386,0.28066742,8.356571e-05
PABPC1,0.05437904,0.054460797,8.1758946e-05
EIF3A,0.33046213,0.3305436,8.147955e-05
NCL,0.3524345,0.35251507,8.058548e-05
LINC00645,0.270897,0.2709767,7.969141e-05
HSP90AA1,0.98627394,0.98635244,7.849932e-05
CXCL9,0.25447398,0.25455242,7.843971e-05
ZNF91,0.27139682,0.27147385,7.7039e-05
RPS9,0.38790765,0.38798407,7.6413155e-05
RAB30,0.26576772,0.26584342,7.56979e-05
MPHOSPH8,0.245753,0.24582857,7.556379e-05
GOLGB1,0.24908039,0.24915588,7.548928e-05
DCAF10,0.24340534,0.24347837,7.303059e-05
RBM25,0.22332096,0.22339383,7.286668e-05
HLA-DRB1,0.3183365,0.31840932,7.2836876e-05
HMGB2,0.34106117,0.3411335,7.233024e-05
MDM4,0.14967433,0.14974421,6.9886446e-05
EIF4B,0.22042283,0.22049262,6.978214e-05
AFP,0.27111858,0.27118528,6.66976e-05
ARMT1,0.26324767,0.26331398,6.631017e-05
PTPRF,0.24870734,0.24877268,6.534159e-05
REST,0.30165556,0.30172047,6.490946e-05
RPL31,0.2763589,0.2764237,6.479025e-05
RNASE1,0.45238867,0.4524532,6.452203e-05
RAD21,0.24639435,0.24645852,6.41644e-05
ANKHD1,0.20490904,0.20497221,6.316602e-05
DDX17,0.18746464,0.18752737,6.273389e-05
BCLAF1,0.2752772,0.27533975,6.2555075e-05
LAPTM5,0.26453406,0.26459578,6.172061e-05
RB1CC1,0.20085149,0.20091312,6.16312e-05
CYBA,0.24438588,0.24444641,6.0528517e-05
BRD4,0.30256107,0.30262104,5.9962273e-05
BPTF,0.22568202,0.22574165,5.9634447e-05
EVL,0.2496187,0.24967638,5.7682395e-05
RBMX,0.25222343,0.25228056,5.7131052e-05
ARGLU1,0.47489458,0.4749515,5.6922436e-05
KAT6B,0.23200648,0.2320633,5.6818128e-05
NFIA,0.26820272,0.26825878,5.605817e-05
C1R,0.41282275,0.4128784,5.5640936e-05
