Gene,IG Score Before Training,IG Score After Training,Difference
KRT8,0.0059333555,0.8222978,0.81636447
HIST1H4A,0.12203226,0.92236185,0.80032957
OR51E2,0.20707405,0.91705084,0.7099768
KRT18,0.28752178,0.99217343,0.70465165
HIST1H1E,0.22290704,0.8490188,0.62611175
CALML5,0.2964387,0.9097041,0.6132654
KLK4,0.32085118,0.8877606,0.56690943
MUC16,0.3359274,0.8456004,0.509673
ZNF703,0.3220935,0.8177476,0.4956541
GABRE,0.41143438,0.89933497,0.48790058
SPINK4,0.40924135,0.79972607,0.39048472
UCHL1,0.5609935,0.93024963,0.36925614
HIST1H1B,0.6311262,0.9434021,0.3122759
HIST1H4D,0.2520453,0.5441521,0.29210678
HIST1H4C,0.2725241,0.5631602,0.2906361
MMP11,0.23593721,0.5074231,0.2714859
HIST1H4E,0.26266712,0.52863973,0.2659726
GALNT6,0.614051,0.87761635,0.26356536
SPDEF,0.29676846,0.55948704,0.2627186
HOXB13,0.28516012,0.54008603,0.2549259
PTHLH,0.28701353,0.53823644,0.2512229
NCF2,0.37414208,0.62137204,0.24722996
COL7A1,0.299167,0.5437814,0.24461439
PCYT1A,0.32151437,0.5636606,0.24214625
MMP12,0.537384,0.7607995,0.22341555
HIST1H1C,0.6057504,0.82819945,0.22244906
CSF3R,0.3497379,0.5634147,0.21367678
HIST1H2BD,0.27857208,0.490277,0.21170491
CCDC9,0.38049528,0.58291566,0.20242038
PKP1,0.30253118,0.49933973,0.19680855
OBSCN,0.31214353,0.50220007,0.19005653
TOP2A,0.31797263,0.50770116,0.18972853
HIST1H4H,0.26712143,0.45493054,0.18780911
IFI44,0.2990398,0.47797662,0.17893681
SAMD9,0.3262596,0.5042076,0.177948
TNS4,0.29992032,0.47592023,0.17599991
ISYNA1,0.2964739,0.45801327,0.16153938
CTXN1,0.26245254,0.42220697,0.15975443
CTHRC1,0.29375482,0.45078114,0.15702632
PRAME,0.31771544,0.47141343,0.153698
CCNE1,0.3013319,0.44247466,0.14114276
IFI44L,0.28888336,0.4284355,0.13955215
HIST1H1D,0.29170576,0.4275886,0.13588285
TSPAN33,0.32041305,0.45578083,0.13536778
HIST1H2BN,0.2653165,0.3969494,0.13163292
HIST1H3I,0.25986275,0.3849334,0.12507066
HIST1H2AD,0.26671383,0.39133182,0.124617994
FBN2,0.3044826,0.42762315,0.12314054
EPHB3,0.31089962,0.43258506,0.121685445
UBD,0.29812452,0.41733554,0.11921102
HIST1H2AG,0.26740614,0.38463598,0.11722985
POLR2H,0.2555002,0.37186077,0.116360575
HIST2H2AB,0.26748314,0.37453845,0.10705531
OAS2,0.2969828,0.40120324,0.10422045
BCAT1,0.2963194,0.3998628,0.1035434
RUNX1,0.2690249,0.37142172,0.102396816
CDK18,0.29893643,0.40107703,0.102140605
KCTD1,0.2892947,0.38955674,0.100262046
ABCC4,0.27850977,0.3772272,0.09871742
HIST1H2BG,0.26545522,0.36399886,0.098543644
HIST1H2AE,0.26918256,0.36537325,0.09619069
IL1RAP,0.29671144,0.39069298,0.093981534
