Gene,IG Score Before Training,IG Score After Training
A2ML1,-1.0,-1.0
AAA1,-1.0,-1.0
AACSL,-1.0,-1.0
AADACL3,-1.0,-1.0
AANAT,-1.0,-1.0
ABCA12,-1.0,-1.0
ABCA13,-1.0,-1.0
ABCA17P,-1.0,-1.0
ABCB9,-1.0,-1.0
ABCC12,-1.0,-1.0
ABHD12B,-1.0,-1.0
ACAN,-1.0,-1.0
ACBD7,-1.0,-1.0
ACCN2,-1.0,-1.0
ACCN3,-1.0,-1.0
ACCN4,-1.0,-1.0
ACCSL,-1.0,-1.0
ACPT,-1.0,-1.0
ACRBP,-1.0,-1.0
ACRC,-1.0,-1.0
ACRV1,-1.0,-1.0
ACSM4,-1.0,-1.0
ACTBL2,-1.0,-1.0
ACTL6B,-1.0,-1.0
ACTL7A,-1.0,-1.0
ACTL7B,-1.0,-1.0
ACTL8,-1.0,-1.0
ACTL9,-1.0,-1.0
ACTRT1,-1.0,-1.0
ACTRT2,-1.0,-1.0
ADAD1,-1.0,-1.0
ADAM11,-1.0,-1.0
ADAM18,-1.0,-1.0
ADAM2,-1.0,-1.0
ADAM20,-1.0,-1.0
ADAM21,-1.0,-1.0
ADAM21P1,-1.0,-1.0
ADAM30,-1.0,-1.0
ADAM32,-1.0,-1.0
ADAM5P,-1.0,-1.0
ADAMDEC1,-1.0,-1.0
ADAMTS12,-1.0,-1.0
ADAMTS14,-1.0,-1.0
ADAMTS18,-1.0,-1.0
ADAMTS2,-1.0,-1.0
ADAMTS20,-1.0,-1.0
ADAMTS6,-1.0,-1.0
ADAMTS7,-1.0,-1.0
ADAT2,-1.0,-1.0
ADAT3,-1.0,-1.0
ADC,-1.0,-1.0
ADCK5,-1.0,-1.0
ADD2,-1.0,-1.0
ADM2,-1.0,-1.0
ADORA1,-1.0,-1.0
ADORA3,-1.0,-1.0
AFARP1,-1.0,-1.0
AFF2,-1.0,-1.0
AGAP2,-1.0,-1.0
AGAP4,-1.0,-1.0
AGAP5,-1.0,-1.0
AGAP6,-1.0,-1.0
AGAP7,-1.0,-1.0
AGAP8,-1.0,-1.0
AGBL2,-1.0,-1.0
AHRR,-1.0,-1.0
AIFM3,-1.0,-1.0
AIM1L,-1.0,-1.0
AIM2,-1.0,-1.0
AIRE,-1.0,-1.0
AKAP4,-1.0,-1.0
AKNAD1,-1.0,-1.0
AKR1B15,-1.0,-1.0
ALDH1L2,-1.0,-1.0
ALDH3B2,-1.0,-1.0
ALG10,-1.0,-1.0
ALG11,-1.0,-1.0
ALG1L,-1.0,-1.0
ALG1L2,-1.0,-1.0
ALK,-1.0,-1.0
