Gene,IG Score Before Training,IG Score After Training,Difference
COL1A1,0.2689414322376251,0.996046245098114,0.7271048128604889
COL3A1,0.2689414322376251,0.9929667711257935,0.7240253388881683
CD74,0.2689414322376251,0.9922161102294922,0.7232746779918671
IGFBP5,0.2689414322376251,0.9921870231628418,0.7232455909252167
JCHAIN,0.2689414322376251,0.9915868043899536,0.7226453721523285
SFTPB,0.2689414322376251,0.9908278584480286,0.7218864262104034
IGFBP7,0.2689414322376251,0.9905891418457031,0.721647709608078
BCAM,0.2689414322376251,0.9900079965591431,0.7210665643215179
PLA2G2A,0.2689414322376251,0.9896312355995178,0.7206898033618927
MUC1,0.2689414322376251,0.9895484447479248,0.7206070125102997
KRT19,0.2689414322376251,0.9884528517723083,0.7195114195346832
HSP90AA1,0.2689414322376251,0.9862739443778992,0.717332512140274
CD44,0.2689414322376251,0.9855008721351624,0.7165594398975372
LYZ,0.2689414322376251,0.9851967096328735,0.7162552773952484
BST2,0.2689414322376251,0.9838494062423706,0.7149079740047455
CD9,0.2689414322376251,0.9828657507896423,0.7139243185520172
VIM,0.2689414322376251,0.9776566624641418,0.7087152302265167
RPL13,0.2689414322376251,0.9723242521286011,0.703382819890976
APOE,0.2689414322376251,0.9680188298225403,0.6990773975849152
AGR2,0.2689414322376251,0.96612149477005,0.6971800625324249
MLANA,0.2689414322376251,0.9627333879470825,0.6937919557094574
UBA52,0.2689414322376251,0.9625231623649597,0.6935817301273346
REG1A,0.2689414322376251,0.9571017026901245,0.6881602704524994
KLK2,0.2689414322376251,0.9547320604324341,0.685790628194809
CTSD,0.2689414322376251,0.9527676105499268,0.6838261783123016
SLPI,0.2689414322376251,0.9487847089767456,0.6798432767391205
LTF,0.2689414322376251,0.9383389949798584,0.6693975627422333
SELENBP1,0.2689414322376251,0.9374048113822937,0.6684633791446686
CTSB,0.2689414322376251,0.9353415369987488,0.6664001047611237
TAGLN,0.2689414322376251,0.9336013793945312,0.6646599471569061
LGALS4,0.2689414322376251,0.9330542087554932,0.664112776517868
