Gene,IG Score After Training
C1orf141,0.00024271094298455864
PKP1,2.22876769839786e-05
RERE,0.0002271689590997994
CSMD2,0.00024161074543371797
HIVEP3,0.0002452006156090647
GLMN,0.00025702823768369853
SLC44A5,0.0002362481754971668
TTLL7,0.00024133747501764446
MAN1A2,0.00023771006090100855
MPZL1,0.00024064125318545848
RFWD2,0.2689414322376251
C1orf21,0.00023033008619677275
LINC01032,0.2689414322376251
ANXA9,0.00024331265012733638
HSD11B1,0.0002425027487333864
LOC101930114,0.2689414322376251
SDCCAG8,0.00023643342137802392
AGRN,0.0002255545841762796
PRDM16,0.00023625382164027542
PRKCZ,0.0002389097644481808
ACOT7,0.00023448278079740703
CAMTA1,0.00023393923765979707
DISP3,0.0002919587423093617
KAZN,0.00023967245942912996
PLEKHM2,0.00023775018053129315
DHRS3,0.0002290421980433166
PEX14,0.00024134783598128706
EIF4G3,0.00023652632080484182
KDM1A,0.00023608404444530606
ACTL8,0.00024264011881314218
ALDH4A1,0.00024149146338459104
PLA2G2E,0.00024314729671459645
WDTC1,0.0002376962365815416
EPHA10,0.00024170729739125818
TRIT1,0.00023819263151381165
PIK3R3,0.00023965394939295948
LOC101929626,0.2689414322376251
SLC5A9,0.00024218065664172173
ZSWIM5,0.00024126935750246048
AGBL4,0.00024196600134018809
PDZK1IP1,0.00024025725724641234
EPS15,0.0002532826329115778
ZCCHC11,0.2689414322376251
DAB1,0.00024014983500819653
LOC101926964,0.2689414322376251
PATJ,0.00021291027951519936
JAK1,0.00023876559862401336
PDE4B,0.00023675509146414697
ROR1,0.00024216888414230198
GNG12-AS1,0.2689414322376251
WLS,0.00023185303143691272
FPGT-TNNI3K,0.2689414322376251
TNNI3K,0.00024213423603214324
ST6GALNAC3,0.00024175869475584477
ZZZ3,0.2689414322376251
ADGRL2,0.00024038190895225853
IFI44L,0.00024312688037753105
COL24A1,0.0002398029901087284
HS2ST1,0.0002844799601007253
MCOLN2,0.00024148178636096418
CCDC18-AS1,0.2689414322376251
DPYD,0.00024469057098031044
MIR548N,0.2689414322376251
LINC01397,0.2689414322376251
ATP1A1,0.00026557620731182396
CEPT1,0.00024004661827348173
SRGAP2-AS1,0.2689414322376251
RNF115,0.00024708700948394835
HYDIN2,0.2689414322376251
PDE4DIP,0.2689414322376251
OTUD7B,0.00023107201559469104
MUC1,0.0002742600627243519
PMF1-BGLAP,0.2689414322376251
NUP210L,0.00024165178183466196
PMF1,0.00023376844183076173
PBX1,0.0002315863675903529
UHMK1,0.0002627055218908936
ALDH9A1,0.00024069173377938569
SCYL3,0.00023874285398051143
TNN,0.00024190833210013807
DNM3,0.00024025475431699306
SMG7,0.0002406965650152415
BRINP2,0.00024175569706130773
RASAL2,0.00024057796690613031
SOAT1,0.00024139914603438228
ACBD6,0.00022905484365765005
RGSL1,0.00024208807735703886
LINC01350,0.2689414322376251
ASPM,0.00023586377210449427
NEK7,0.0002380089572397992
RASSF5,0.00023967315792106092
PPP1R12B,0.00021314853802323341
CR1,0.00024199830659199506
CDK18,0.00023986061569303274
PIK3C2B,0.00024309003492817283
KCNH1,0.0002393183094682172
LPGAT1,0.0002333805023226887
FLVCR1,0.0002541299909353256
PROX1-AS1,0.2689414322376251
USH2A,0.00024274145835079253
ESRRG,0.00024219822080340236
LYPLAL1-AS1,0.2689414322376251
RAB3GAP2,0.00023933587362989783
SUSD4,0.00023853647871874273
WDR26,1.8075887055601925e-05
URB2,0.00023866114497650415
COG2,0.00024231667339336127
TSNAX-DISC1,0.2689414322376251
DISC1,0.00023721333127468824
FMN2,0.00024182368360925466
RGS7,0.00029182544676586986
PLD5,0.00024121969181578606
KIF26B,0.00024207377282436937
SMYD3,0.00023818104818928987
LOC100130417,0.2689414322376251
PUSL1,0.00024042178119998425
VWA1,0.0002390954759903252
SSU72,0.00023816672910470515
CDK11A,0.00024125211348291487
GNB1,2.1362993720686063e-05
CFAP74,0.0002429350424790755
TTLL10,0.00024150618992280215
MMEL1,0.00024268199922516942
MORN1,0.2689414322376251
TTC34,0.2689414322376251
PLCH2,0.00024013291113078594
TP73,0.00023951484763529152
MEGF6,0.00024211045820266008
AJAP1,0.0002406024868832901
NPHP4,0.00024081821902655065
KCNAB2,0.00024338644288945943
CHD5,0.00024273429880850017
NOL9,0.00024279055651277304
DNAJC11,0.0002393116883467883
SLC2A5,0.00024146729265339673
MIR34AHG,0.2689414322376251
SPSB1,0.00023345727822743356
KIF1B,0.0002985083556268364
SLC25A33,0.00024200754705816507
PIK3CD,0.0002458228264003992
NMNAT1,0.00024251708236988634
UBE4B,0.00023063710250426084
CASZ1,0.00023487523139920086
MTOR,0.00028783868765458465
FBXO6,0.00024241767823696136
VPS13D,0.00024007087631616741
TNFRSF1B,0.00024487986229360104
MTHFR,0.00024057590053416789
PRAMEF19,0.000242951005930081
LRRC38,0.00024264569219667464
PRDM2,0.00024287043197546154
TMEM51,0.0003027054772246629
FHAD1,0.00024292737361975014
CELA2A,0.00024288453278131783
SPEN,0.0002848021104000509
FBXO42,0.00023931942996568978
SZRD1,0.00023529147438239306
MST1P2,0.2689414322376251
RCC2,0.00023269881785381585
ARHGEF10L,0.00023853033781051636
SDHB,0.00023888058785814792
KLHDC7A,0.0002408790896879509
PAX7,0.0002416658098809421
IGSF21,0.00024132388352882117
UBR4,0.00024146797659341246
AKR7L,0.2689414322376251
CAPZB,0.00023114406212698668
TMCO4,0.0002448091108817607
UBXN10-AS1,0.2689414322376251
VWA5B1,0.00024260312784463167
KIF17,0.00024338967341464013
HSPG2,0.0002334924356546253
RAP1GAP,0.00024113919062074274
ECE1,1.6793575923657045e-05
USP48,0.0002306522655999288
EPHB2,0.00024040619609877467
HNRNPR,0.00023434599279426038
FUCA1,0.0002437057119095698
ASAP3,0.00024158127780538052
RCAN3,0.00024017687246669084
CLIC4,0.0002341612707823515
STPG1,0.00024197269522119313
RUNX3,0.0002423767582513392
RSRP1,0.0004571465833578259
LDLRAP1,0.00023966425214894116
LOC646471,0.2689414322376251
MTFR1L,0.00023748443345539272
MAN1C1,0.0002424590493319556
RHD,0.00024283754464704543
AIM1L,0.2689414322376251
ARID1A,0.00023496551148127764
TRNP1,0.00024111001403070986
SLC9A1,0.00024193510762415826
HMGN2,0.2689414322376251
EYA3,0.0002386283886153251
GPR3,0.0002415379713056609
PTAFR,0.00024154626589734107
STX12,0.0002365006075706333
PHACTR4,0.00023891888849902898
GMEB1,0.0002387332933722064
EPB41,0.0002399262593826279
MECR,0.0002409413136774674
OPRD1,0.00024236358876805753
TRNAU1AP,0.00024361767282243818
LOC101929406,0.2689414322376251
NKAIN1,0.00024257604673039168
ZCCHC17,0.00023811179562471807
PUM1,0.00023791503917891532
BSDC1,0.00024872832000255585
KPNA6,0.00023903280089143664
KIAA1522,0.00024846973246894777
AK2,0.2689414322376251
ZNF362,0.0002542097063269466
TRIM62,0.0002403711259830743
ZBTB8OS,0.2689414322376251
TMEM54,0.0002352015144424513
C1orf94,0.00024280048091895878
ZMYM4,0.00029896944761276245
KIAA0319L,0.00023828553094062954
ZMYM6,0.0002912214840762317
AGO1,0.00029710435774177313
AGO3,0.00023672348470427096
MAP7D1,0.0002335552271688357
SH3D21,0.00024160707835108042
OSCP1,0.0002407077990937978
RSPO1,0.0002428287552902475
GRIK3,0.00024215548182837665
INPP5B,0.0002433163463138044
RHBDL2,0.0002421450917609036
MACF1,0.00022575016191694885
RLF,0.00024147970543708652
RIMS3,0.00024410034529864788
NFYC,0.00024041859433054924
SLFNL1-AS1,0.2689414322376251
SCMH1,0.00024174925056286156
FOXJ3,0.00023949885508045554
PPCS,0.000254391081398353
CCDC30,0.00024395865330006927
LOC339539,0.2689414322376251
CFAP57,0.00024215754820033908
MED8,0.00028641545213758945
ST3GAL3,0.00023354367294814438
ERI3,0.00024212685821112245
RNF220,0.00023673591203987598
C1orf228,0.2689414322376251
PTCH2,0.00024282016966026276
EIF2B3,0.00023948583111632615
TESK2,0.0002418172371108085
NASP,0.0002424461126793176
IPP,0.00023937398509588093
MAST2,0.00023850372235756367
RAD54L,0.0002391476882621646
FAAH,0.000261158449575305
ATPAF1,0.00023641156440135092
TRABD2B,0.00024203291104640812
SKINT1L,0.2689414322376251
SPATA6,0.00024057563859969378
BEND5,0.00024244333326350898
AGBL4-IT1,0.2689414322376251
ELAVL4,0.00024316259077750146
FAF1,0.00024201537598855793
C1orf185,0.00024231252609752119
RNF11,0.00023944016720633954
TXNDC12,0.0002334345772396773
ZFYVE9,0.0002343993983231485
OSBPL9,0.00023756708833388984
COA7,0.00024044106248766184
ZYG11B,0.0002982600126415491
PODN,0.0002443197008688003
C1orf123,0.2689414322376251
SCP2,0.000237685366300866
GLIS1,0.00024287552514579147
SSBP3,0.00024161074543371797
YIPF1,0.00024068899801932275
MROH7-TTC4,0.2689414322376251
TTC22,0.00023845642863307148
PCSK9,0.00024292369198519737
USP24,0.00024148961529135704
MROH7,0.0002426882419968024
C1orf168,0.2689414322376251
C8A,0.0002425189159112051
LINC01135,0.2689414322376251
FGGY,0.0002429000596748665
