adata,radius,resolution,auroc
/project/DPDS/Wang_lab/shared/spatial_TCR/data/train_validate/Visium/HumanOvarianCancer/T_cell.h5ad,150,low,0.44
/project/DPDS/Wang_lab/shared/spatial_TCR/data/train_validate/Visium/HumanOvarianCancerWholeTranscriptome/T_cell.h5ad,150,low,0.42
/project/DPDS/Wang_lab/shared/spatial_TCR/data/train_validate/Visium/HumanColorectalCancerWholeTranscriptome/T_cell.h5ad,150,low,0.47
/project/DPDS/Wang_lab/shared/spatial_TCR/data/train_validate/Visium/HumanOvarianCancerFFPE/T_cell.h5ad,150,low,0.51
/project/DPDS/Wang_lab/shared/spatial_TCR/data/train_validate/Visium/HumanLungCancer/T_cell.h5ad,150,low,0.44
/project/DPDS/Wang_lab/shared/spatial_TCR/data/train_validate/Visium/HumanBreastCancerDuctalCarcinoma/T_cell.h5ad,150,low,0.45
/project/DPDS/Wang_lab/shared/spatial_TCR/data/train_validate/Visium/HumanProstateCancerAdenocarcinomaFFPE/T_cell.h5ad,150,low,0.53
/project/DPDS/Wang_lab/shared/spatial_TCR/data/train_validate/Visium/HumanBreastCancerA2/T_cell.h5ad,150,low,0.47
/project/DPDS/Wang_lab/shared/spatial_TCR/data/train_validate/Visium/InvasiveDuctalCarcinoma/T_cell.h5ad,150,low,0.43
/project/DPDS/Wang_lab/shared/spatial_TCR/data/train_validate/Visium/HumanBreastCancer/T_cell.h5ad,150,low,0.48
/project/DPDS/Wang_lab/shared/spatial_TCR/data/train_validate/Visium/HumanIntestineCancerFFPE/T_cell.h5ad,150,low,0.49
/project/DPDS/Wang_lab/shared/spatial_TCR/data/train_validate/Visium/HumanColorectalCancerFFPE/T_cell.h5ad,150,low,0.48
/project/DPDS/Wang_lab/shared/spatial_TCR/data/train_validate/Visium/HumanMelanomaFFPE/T_cell.h5ad,150,low,0.52
/project/DPDS/Wang_lab/shared/spatial_TCR/data/train_validate/Visium/HumanBreastCancerWholeTranscriptome/T_cell.h5ad,150,low,0.49
/project/DPDS/Wang_lab/shared/spatial_TCR/data/train_validate/Visium/HumanCervicalCancerFFPE/T_cell.h5ad,150,low,0.46
/project/DPDS/Wang_lab/shared/spatial_TCR/data/train_validate/Visium/HumanProstateCancerAcinarFFPE/T_cell.h5ad,150,low,0.44
/project/DPDS/Wang_lab/shared/spatial_TCR/data/train_validate/Visium/HumanProstateCancerFFPE/T_cell.h5ad,150,low,0.53
/project/DPDS/Wang_lab/shared/spatial_TCR/data/train_validate/VisiumHD/HumanColorectalCancer/T_cell.h5ad,75,high,0.54
/project/DPDS/Wang_lab/shared/spatial_TCR/data/train_validate/VisiumHD/HumanLungCancer/T_cell.h5ad,75,high,0.54
/project/DPDS/Wang_lab/s439765/spatial_tcr/SpatialVDJ/SpatialVDJ_forZenodo/data/breast_cancer/TumE2_preprocessed.h5ad,150,high,0.49
/project/DPDS/Wang_lab/s439765/spatial_tcr/SpatialVDJ/SpatialVDJ_forZenodo/data/breast_cancer/TumC2_preprocessed.h5ad,150,high,0.39
/project/DPDS/Wang_lab/s439765/spatial_tcr/spatial_TCR_scRNA/p16_preprocessed.h5ad,150,high,0.42 
