Gene,SPACER Score Before Training,SPACER Score After Training,Difference
SLC5A3,-1.0,2.9548299312591553,3.9548299312591553
LGR4,-1.0,2.9187698364257812,3.9187698364257812
GAS5,-1.0,2.864309549331665,3.864309549331665
PDCD6,-1.0,2.8520660400390625,3.8520660400390625
BCR,-1.0,2.788297653198242,3.788297653198242
LRIG1,-1.0,2.7780418395996094,3.7780418395996094
CTBP1,-1.0,2.753793954849243,3.753793954849243
HSPBP1,-1.0,2.743753671646118,3.743753671646118
TUBB2B,-1.0,2.695406198501587,3.695406198501587
PGGHG,-1.0,2.6822869777679443,3.6822869777679443
NUDT5,-1.0,2.660273790359497,3.660273790359497
ZNF558,-1.0,2.6463730335235596,3.6463730335235596
FCHO1,-1.0,2.641866683959961,3.641866683959961
PALM3,-1.0,2.629457712173462,3.629457712173462
NRP1,-1.0,2.6238906383514404,3.6238906383514404
CLCN3,-1.0,2.620269298553467,3.620269298553467
FKBP4,-1.0,2.5897626876831055,3.5897626876831055
SQLE,-1.0,2.58965802192688,3.58965802192688
SLC1A5,-1.0,2.574568510055542,3.574568510055542
PRKX,-1.0,2.571321964263916,3.571321964263916
RBM5,-1.0,2.5604026317596436,3.5604026317596436
TNNT1,-1.0,2.5595321655273438,3.5595321655273438
XPO6,-1.0,2.5553784370422363,3.5553784370422363
EPCAM,-1.0,2.5528531074523926,3.5528531074523926
RGL3,-1.0,2.54758358001709,3.54758358001709
MPG,-1.0,2.50984263420105,3.50984263420105
ZNF426,-1.0,2.4910144805908203,3.4910144805908203
CLIP4,-1.0,2.486713409423828,3.486713409423828
MUC16,-1.0,2.485419273376465,3.485419273376465
CPSF1,-1.0,2.4801137447357178,3.4801137447357178
PIN1,-1.0,2.4681193828582764,3.4681193828582764
SMARCD2,-1.0,2.4641644954681396,3.4641644954681396
SNHG5,-1.0,2.4626293182373047,3.4626293182373047
SNHG7,-1.0,2.4587020874023438,3.4587020874023438
COX16,-1.0,2.4511725902557373,3.4511725902557373
TRAP1,-1.0,2.450395107269287,3.450395107269287
HAX1,-1.0,2.4384729862213135,3.4384729862213135
SLC11A2,-1.0,2.4255080223083496,3.4255080223083496
RAPGEF3,-1.0,2.4085443019866943,3.4085443019866943
LSM14A,-1.0,2.396538257598877,3.396538257598877
ILVBL,-1.0,2.3845090866088867,3.3845090866088867
SFT2D2,-1.0,2.381699800491333,3.381699800491333
C2CD5,-1.0,2.3795690536499023,3.3795690536499023
PPP1R13B,-1.0,2.377795934677124,3.377795934677124
SH3PXD2A,-1.0,2.3637337684631348,3.3637337684631348
